AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	0.00	16.73	42.05
2.00	0.00	3939.98	-11.84	0.00	16.91	41.97
3.00	0.00	3939.95	-17.76	0.00	17.09	41.90
4.00	0.00	3939.92	-23.68	0.00	17.27	41.82
5.00	0.00	3939.87	-29.60	0.00	17.45	41.74
6.00	0.00	3939.81	-35.52	0.00	17.63	41.67
7.00	0.00	3939.74	-41.44	0.00	17.80	41.59
8.00	0.00	3939.67	-47.36	0.00	17.98	41.51
9.00	0.00	3939.58	-53.28	0.00	18.16	41.43
10.00	0.00	3939.48	-59.20	0.00	18.34	41.35
11.00	0.00	3939.37	-65.12	0.00	18.51	41.27
12.00	0.00	3939.25	-71.03	0.00	18.69	41.20
13.00	0.00	3939.12	-76.95	0.00	18.87	41.12
14.00	0.00	3938.97	-82.87	0.00	19.04	41.04
15.00	0.00	3938.82	-88.79	0.00	19.22	40.95
16.00	0.00	3938.66	-94.71	0.00	19.39	40.87
17.00	0.00	3938.49	-100.62	0.00	19.57	40.79
18.00	0.00	3938.31	-106.54	0.00	19.74	40.71
19.00	0.00	3938.11	-112.46	0.00	19.91	40.63
20.00	0.00	3937.91	-118.37	0.00	20.09	40.55
21.00	0.00	3937.70	-124.29	0.00	20.26	40.46
22.00	0.00	3937.47	-130.21	0.00	20.43	40.38
23.00	0.00	3937.24	-136.12	0.00	20.60	40.29
24.00	0.00	3936.99	-142.04	0.00	20.78	40.21
25.00	0.00	3936.74	-147.95	0.00	20.95	40.13
26.00	0.00	3936.47	-153.87	0.00	21.12	40.04
27.00	0.00	3936.19	-159.78	0.00	21.29	39.96
28.00	0.00	3935.91	-165.69	0.00	21.46	39.87
29.00	0.00	3935.61	-171.61	0.00	21.63	39.78
30.00	0.00	3935.30	-177.52	0.00	21.80	39.70
31.00	0.00	3934.98	-183.43	0.00	21.97	39.61
32.00	0.00	3934.65	-189.34	0.00	22.14	39.52
33.00	0.00	3934.31	-195.25	0.00	22.30	39.44
34.00	0.00	3933.96	-201.16	0.00	22.47	39.35
35.00	0.00	3933.60	-207.07	0.00	22.64	39.26
36.00	0.00	3933.23	-212.98	0.00	22.81	39.17
37.00	0.00	3932.85	-218.89	0.00	22.97	39.08
38.00	0.00	3932.46	-224.79	0.00	23.14	38.99
39.00	0.00	3932.06	-230.70	0.00	23.30	38.90
40.00	0.00	3931.65	-236.60	0.00	23.47	38.81
41.00	0.00	3931.22	-242.51	0.00	23.64	38.72
42.00	0.00	3930.79	-248.41	0.00	23.80	38.63
43.00	0.00	3930.34	-254.32	0.00	23.96	38.54
44.00	0.00	3929.89	-260.22	0.00	24.13	38.44
45.00	0.00	3929.43	-266.12	0.00	24.29	38.35
46.00	0.00	3928.95	-272.02	0.00	24.45	38.26
47.00	0.00	3928.47	-277.93	0.00	24.62	38.17
48.00	0.00	3927.97	-283.83	0.00	24.78	38.07
49.00	0.00	3927.47	-289.72	0.00	24.94	37.98
50.00	0.00	3926.95	-295.62	0.00	25.10	37.89
51.00	0.00	3926.42	-301.52	0.00	25.26	37.79
52.00	0.00	3925.88	-307.41	0.00	25.43	37.70
53.00	0.00	3925.34	-313.31	0.00	25.59	37.60
54.00	0.00	3924.78	-319.20	0.00	25.75	37.51
55.00	0.00	3924.21	-325.10	0.00	25.91	37.41
56.00	0.00	3923.63	-330.99	0.00	26.06	37.31
57.00	0.00	3923.04	-336.88	0.00	26.22	37.22
58.00	0.00	3922.44	-342.77	0.00	26.38	37.12
59.00	0.00	3921.83	-348.66	0.00	26.54	37.02
60.00	0.00	3921.21	-354.55	0.00	26.70	36.93
61.00	0.00	3920.58	-360.43	0.00	26.85	36.83
62.00	0.00	3919.94	-366.32	0.00	27.01	36.73
63.00	0.00	3919.29	-372.20	0.00	27.17	36.63
64.00	0.00	3918.63	-378.09	0.00	27.32	36.53
65.00	0.00	3917.95	-383.97	0.00	27.48	36.43
66.00	0.00	3917.27	-389.85	0.00	27.63	36.33
67.00	0.00	3916.58	-395.73	0.00	27.79	36.23
68.00	0.00	3915.87	-401.61	0.00	27.94	36.13
69.00	0.00	3915.16	-407.49	0.00	28.10	36.03
70.00	0.00	3914.43	-413.37	0.00	28.25	35.93
71.00	0.00	3913.70	-419.24	0.00	28.40	35.83
72.00	0.00	3912.95	-425.11	0.00	28.56	35.73
73.00	0.00	3912.20	-430.99	0.00	28.71	35.63
74.00	0.00	3911.43	-436.86	0.00	28.86	35.52
75.00	0.00	3910.66	-442.73	0.00	29.01	35.42
76.00	0.00	3909.87	-448.60	0.00	29.17	35.32
77.00	0.00	3909.07	-454.46	0.00	29.32	35.22
78.00	0.00	3908.27	-460.33	0.00	29.47	35.11
79.00	0.00	3907.45	-466.19	0.00	29.62	35.01
80.00	0.00	3906.62	-472.06	0.00	29.77	34.90
81.00	0.00	3905.78	-477.92	0.00	29.92	34.80
82.00	0.00	3904.93	-483.78	0.00	30.06	34.69
83.00	0.00	3904.07	-489.64	0.00	30.21	34.59
84.00	0.00	3903.20	-495.50	0.00	30.36	34.48
85.00	0.00	3902.32	-501.35	0.00	30.51	34.38
86.00	0.00	3901.43	-507.21	0.00	30.66	34.27
87.00	0.00	3900.54	-513.06	0.00	30.80	34.16
88.00	0.00	3899.62	-518.91	0.00	30.95	34.06
89.00	0.00	3898.70	-524.76	0.00	31.10	33.95
90.00	0.00	3897.77	-530.60	0.00	31.24	33.84
91.00	0.00	3896.83	-536.45	0.00	31.39	33.74
92.00	0.00	3895.88	-542.30	0.00	31.53	33.63
93.00	0.00	3894.92	-548.14	0.00	31.68	33.52
94.00	0.00	3893.94	-553.98	0.00	31.82	33.41
95.00	0.00	3892.96	-559.82	0.00	31.96	33.30
96.00	0.00	3891.97	-565.66	0.00	32.11	33.19
97.00	0.00	3890.96	-571.49	0.00	32.25	33.08
98.00	0.00	3889.95	-577.33	0.00	32.39	32.97
99.00	0.00	3888.93	-583.16	0.00	32.54	32.86
100.00	0.00	3887.89	-588.99	0.00	32.68	32.75
101.00	0.00	3886.85	-594.82	0.00	32.82	32.64
102.00	0.00	3885.79	-600.65	0.00	32.96	32.53
103.00	0.00	3884.73	-606.47	0.00	33.10	32.42
104.00	0.00	3883.65	-612.30	0.00	33.24	32.31
105.00	0.00	3882.56	-618.12	0.00	33.38	32.20
106.00	0.00	3881.47	-623.94	0.00	33.52	32.08
107.00	0.00	3880.36	-629.76	0.00	33.66	31.97
108.00	0.00	3879.25	-635.57	0.00	33.80	31.86
109.00	0.00	3878.12	-641.39	0.00	33.94	31.74
110.00	0.00	3876.98	-647.20	0.00	34.07	31.63
111.00	0.00	3875.83	-653.01	0.00	34.21	31.52
112.00	0.00	3874.68	-658.82	0.00	34.35	31.40
113.00	0.00	3873.51	-664.62	0.00	34.49	31.29
114.00	0.00	3872.33	-670.43	0.00	34.62	31.17
115.00	0.00	3871.14	-676.23	0.00	34.76	31.06
116.00	0.00	3869.94	-682.03	0.00	34.89	30.94
117.00	0.00	3868.73	-687.83	0.00	35.03	30.83
118.00	0.00	3867.51	-693.62	0.00	35.16	30.71
119.00	0.00	3866.28	-699.42	0.00	35.30	30.60
120.00	0.00	3865.05	-705.21	0.00	35.43	30.48
121.00	0.00	3863.80	-711.00	0.00	35.57	30.36
122.00	0.00	3862.54	-716.79	0.00	35.70	30.25
123.00	0.00	3861.27	-722.57	0.00	35.83	30.13
124.00	0.00	3859.98	-728.35	0.00	35.96	30.01
125.00	0.00	3858.69	-734.13	0.00	36.10	29.90
126.00	0.00	3857.39	-739.91	0.00	36.23	29.78
127.00	0.00	3856.08	-745.69	0.00	36.36	29.66
128.00	0.00	3854.76	-751.46	0.00	36.49	29.54
129.00	0.00	3853.43	-757.24	0.00	36.62	29.42
130.00	0.00	3852.09	-763.01	0.00	36.75	29.30
131.00	0.00	3850.74	-768.77	0.00	36.88	29.18
132.00	0.00	3849.38	-774.54	0.00	37.01	29.07
133.00	0.00	3848.00	-780.30	0.00	37.14	28.95
134.00	0.00	3846.62	-786.06	0.00	37.27	28.83
135.00	0.00	3845.23	-791.82	0.00	37.39	28.71
136.00	0.00	3843.83	-797.57	0.00	37.52	28.58
137.00	0.00	3842.41	-803.33	0.00	37.65	28.46
138.00	0.00	3840.99	-809.07	0.00	37.78	28.34
139.00	0.00	3839.56	-814.82	0.00	37.90	28.22
140.00	0.00	3838.12	-820.57	0.00	38.03	28.10
141.00	0.00	3836.66	-826.31	0.00	38.15	27.98
142.00	0.00	3835.20	-832.05	0.00	38.28	27.86
143.00	0.00	3833.72	-837.79	0.00	38.40	27.73
144.00	0.00	3832.24	-843.53	0.00	38.53	27.61
145.00	0.00	3830.75	-849.26	0.00	38.65	27.49
146.00	0.00	3829.24	-854.99	0.00	38.78	27.36
147.00	0.00	3827.73	-860.71	0.00	38.90	27.24
148.00	0.00	3826.20	-866.44	0.00	39.02	27.12
149.00	0.00	3824.67	-872.16	0.00	39.15	26.99
150.00	0.00	3823.13	-877.88	0.00	39.27	26.87
151.00	0.00	3821.57	-883.60	0.00	39.39	26.75
152.00	0.00	3820.01	-889.31	0.00	39.51	26.62
153.00	0.00	3818.43	-895.02	0.00	39.63	26.50
154.00	0.00	3816.85	-900.73	0.00	39.75	26.37
155.00	0.00	3815.25	-906.44	0.00	39.87	26.25
156.00	0.00	3813.65	-912.14	0.00	39.99	26.12
157.00	0.00	3812.03	-917.84	0.00	40.11	25.99
158.00	0.00	3810.41	-923.54	0.00	40.23	25.87
159.00	0.00	3808.77	-929.23	0.00	40.35	25.74
160.00	0.00	3807.13	-934.93	0.00	40.47	25.62
161.00	0.00	3805.47	-940.62	0.00	40.59	25.49
162.00	0.00	3803.81	-946.30	0.00	40.70	25.36
163.00	0.00	3802.13	-951.99	0.00	40.82	25.23
164.00	0.00	3800.45	-957.67	0.00	40.94	25.11
165.00	0.00	3798.75	-963.34	0.00	41.05	24.98
166.00	0.00	3797.05	-969.02	0.00	41.17	24.85
167.00	0.00	3795.33	-974.69	0.00	41.29	24.72
168.00	0.00	3793.61	-980.36	0.00	41.40	24.59
169.00	0.00	3791.87	-986.03	0.00	41.52	24.47
170.00	0.00	3790.13	-991.69	0.00	41.63	24.34
171.00	0.00	3788.37	-997.35	0.00	41.74	24.21
172.00	0.00	3786.60	-1003.00	0.00	41.86	24.08
173.00	0.00	3784.83	-1008.66	0.00	41.97	23.95
174.00	0.00	3783.04	-1014.31	0.00	42.08	23.82
175.00	0.00	3781.25	-1019.96	0.00	42.20	23.69
176.00	0.00	3779.44	-1025.60	0.00	42.31	23.56
177.00	0.00	3777.63	-1031.24	0.00	42.42	23.43
178.00	0.00	3775.80	-1036.88	0.00	42.53	23.30
179.00	0.00	3773.97	-1042.51	0.00	42.64	23.17
180.00	0.00	3772.12	-1048.15	0.00	42.75	23.04
181.00	0.00	3770.27	-1053.78	0.00	42.86	22.91
182.00	0.00	3768.40	-1059.40	0.00	42.97	22.77
183.00	0.00	3766.53	-1065.02	0.00	43.08	22.64
184.00	0.00	3764.64	-1070.64	0.00	43.19	22.51
185.00	0.00	3762.75	-1076.26	0.00	43.30	22.38
186.00	0.00	3760.85	-1081.87	0.00	43.41	22.25
187.00	0.00	3758.93	-1087.48	0.00	43.52	22.11
188.00	0.00	3757.01	-1093.08	0.00	43.62	21.98
189.00	0.00	3755.07	-1098.69	0.00	43.73	21.85
190.00	0.00	3753.13	-1104.29	0.00	43.84	21.71
191.00	0.00	3751.18	-1109.88	0.00	43.94	21.58
192.00	0.00	3749.21	-1115.47	0.00	44.05	21.45
193.00	0.00	3747.24	-1121.06	0.00	44.16	21.31
194.00	0.00	3745.25	-1126.65	0.00	44.26	21.18
195.00	0.00	3743.26	-1132.23	0.00	44.37	21.04
196.00	0.00	3741.26	-1137.81	0.00	44.47	20.91
197.00	0.00	3739.24	-1143.38	0.00	44.57	20.77
198.00	0.00	3737.22	-1148.96	0.00	44.68	20.64
199.00	0.00	3735.19	-1154.53	0.00	44.78	20.50
200.00	0.00	3733.15	-1160.09	0.00	44.88	20.37
201.00	0.00	3731.09	-1165.65	0.00	44.99	20.23
202.00	0.00	3729.03	-1171.21	0.00	45.09	20.10
203.00	0.00	3726.96	-1176.76	0.00	45.19	19.96
204.00	0.00	3724.88	-1182.31	0.00	45.29	19.83
205.00	0.00	3722.79	-1187.86	0.00	45.39	19.69
206.00	0.00	3720.69	-1193.40	0.00	45.49	19.55
207.00	0.00	3718.57	-1198.94	0.00	45.59	19.42
208.00	0.00	3716.45	-1204.48	0.00	45.69	19.28
209.00	0.00	3714.32	-1210.01	0.00	45.79	19.14
210.00	0.00	3712.18	-1215.54	0.00	45.89	19.00
211.00	0.00	3710.03	-1221.06	0.00	45.99	18.87
212.00	0.00	3707.87	-1226.59	0.00	46.09	18.73
213.00	0.00	3705.70	-1232.10	0.00	46.19	18.59
214.00	0.00	3703.52	-1237.61	0.00	46.28	18.45
215.00	0.00	3701.33	-1243.13	0.00	46.38	18.31
216.00	0.00	3699.13	-1248.63	0.00	46.48	18.18
217.00	0.00	3696.92	-1254.13	0.00	46.57	18.04
218.00	0.00	3694.71	-1259.63	0.00	46.67	17.90
219.00	0.00	3692.48	-1265.13	0.00	46.77	17.76
220.00	0.00	3690.24	-1270.62	0.00	46.86	17.62
221.00	0.00	3687.99	-1276.11	0.00	46.96	17.48
222.00	0.00	3685.74	-1281.59	0.00	47.05	17.34
223.00	0.00	3683.47	-1287.07	0.00	47.14	17.20
224.00	0.00	3681.19	-1292.54	0.00	47.24	17.06
225.00	0.00	3678.91	-1298.01	0.00	47.33	16.92
226.00	0.00	3676.61	-1303.48	0.00	47.42	16.78
227.00	0.00	3674.31	-1308.94	0.00	47.52	16.64
228.00	0.00	3671.99	-1314.40	0.00	47.61	16.50
229.00	0.00	3669.66	-1319.86	0.00	47.70	16.36
230.00	0.00	3667.33	-1325.31	0.00	47.79	16.22
231.00	0.00	3664.99	-1330.76	0.00	47.88	16.08
232.00	0.00	3662.64	-1336.20	0.00	47.97	15.93
233.00	0.00	3660.27	-1341.64	0.00	48.07	15.79
234.00	0.00	3657.90	-1347.08	0.00	48.15	15.65
235.00	0.00	3655.52	-1352.51	0.00	48.24	15.51
236.00	0.00	3653.12	-1357.93	0.00	48.33	15.37
237.00	0.00	3650.72	-1363.35	0.00	48.42	15.22
238.00	0.00	3648.31	-1368.77	0.00	48.51	15.08
239.00	0.00	3645.89	-1374.19	0.00	48.60	14.94
240.00	0.00	3643.46	-1379.60	0.00	48.69	14.80
241.00	0.00	3641.02	-1385.01	0.00	48.77	14.65
242.00	0.00	3638.57	-1390.41	0.00	48.86	14.51
243.00	0.00	3636.11	-1395.80	0.00	48.95	14.37
244.00	0.00	3633.65	-1401.20	0.00	49.03	14.22
245.00	0.00	3631.17	-1406.59	0.00	49.12	14.08
246.00	0.00	3628.68	-1411.97	0.00	49.20	13.93
247.00	0.00	3626.18	-1417.35	0.00	49.29	13.79
248.00	0.00	3623.68	-1422.73	0.00	49.37	13.65
249.00	0.00	3621.16	-1428.10	0.00	49.46	13.50
250.00	0.00	3618.63	-1433.47	0.00	49.54	13.36
251.00	0.00	3616.10	-1438.83	0.00	49.63	13.21
252.00	0.00	3613.56	-1444.19	0.00	49.71	13.07
253.00	0.00	3611.00	-1449.54	0.00	49.79	12.92
254.00	0.00	3608.44	-1454.89	0.00	49.87	12.78
255.00	0.00	3605.87	-1460.24	0.00	49.96	12.63
256.00	0.00	3603.28	-1465.58	0.00	50.04	12.49
257.00	0.00	3600.69	-1470.92	0.00	50.12	12.34
258.00	0.00	3598.09	-1476.25	0.00	50.20	12.19
259.00	0.00	3595.48	-1481.58	0.00	50.28	12.05
260.00	0.00	3592.86	-1486.90	0.00	50.36	11.90
261.00	0.00	3590.24	-1492.22	0.00	50.44	11.76
262.00	0.00	3587.60	-1497.53	0.00	50.52	11.61
263.00	0.00	3584.95	-1502.84	0.00	50.60	11.46
264.00	0.00	3582.29	-1508.15	0.00	50.68	11.32
265.00	0.00	3579.62	-1513.45	0.00	50.76	11.17
266.00	0.00	3576.95	-1518.74	0.00	50.83	11.02
267.00	0.00	3574.26	-1524.03	0.00	50.91	10.87
268.00	0.00	3571.57	-1529.32	0.00	50.99	10.73
269.00	0.00	3568.87	-1534.60	0.00	51.07	10.58
270.00	0.00	3566.15	-1539.88	0.00	51.14	10.43
271.00	0.00	3563.43	-1545.15	0.00	51.22	10.28
272.00	0.00	3560.70	-1550.42	0.00	51.29	10.13
273.00	0.00	3557.96	-1555.68	0.00	51.37	9.99
274.00	0.00	3555.21	-1560.94	0.00	51.44	9.84
275.00	0.00	3552.45	-1566.19	0.00	51.52	9.69
276.00	0.00	3549.68	-1571.44	0.00	51.59	9.54
277.00	0.00	3546.90	-1576.68	0.00	51.67	9.39
278.00	0.00	3544.11	-1581.93	0.00	51.74	9.24
279.00	0.00	3541.32	-1587.16	0.00	51.81	9.09
280.00	0.00	3538.51	-1592.39	0.00	51.89	8.94
281.00	0.00	3535.69	-1597.61	0.00	51.96	8.79
282.00	0.00	3532.87	-1602.83	0.00	52.03	8.64
283.00	0.00	3530.04	-1608.05	0.00	52.10	8.49
284.00	0.00	3527.20	-1613.26	0.00	52.17	8.34
285.00	0.00	3524.34	-1618.46	0.00	52.24	8.19
286.00	0.00	3521.48	-1623.66	0.00	52.31	8.04
287.00	0.00	3518.61	-1628.86	0.00	52.38	7.89
288.00	0.00	3515.73	-1634.05	0.00	52.45	7.74
289.00	0.00	3512.84	-1639.23	0.00	52.52	7.59
290.00	0.00	3509.94	-1644.41	0.00	52.59	7.44
291.00	0.00	3507.04	-1649.59	0.00	52.66	7.29
292.00	0.00	3504.12	-1654.76	0.00	52.73	7.14
293.00	0.00	3501.20	-1659.92	0.00	52.80	6.99
294.00	0.00	3498.26	-1665.08	0.00	52.87	6.84
295.00	0.00	3495.32	-1670.24	0.00	52.93	6.68
296.00	0.00	3492.37	-1675.39	0.00	53.00	6.53
297.00	0.00	3489.40	-1680.53	0.00	53.07	6.38
298.00	0.00	3486.44	-1685.67	0.00	53.13	6.23
299.00	0.00	3483.46	-1690.81	0.00	53.20	6.08
300.00	0.00	3480.47	-1695.94	0.00	53.26	5.92
301.00	0.00	3477.47	-1701.06	0.00	53.33	5.77
302.00	0.00	3474.46	-1706.18	0.00	53.39	5.62
303.00	0.00	3471.45	-1711.29	0.00	53.46	5.47
304.00	0.00	3468.42	-1716.40	0.00	53.52	5.31
305.00	0.00	3465.39	-1721.51	0.00	53.58	5.16
306.00	0.00	3462.35	-1726.60	0.00	53.65	5.01
307.00	0.00	3459.29	-1731.70	0.00	53.71	4.85
308.00	0.00	3456.23	-1736.78	0.00	53.77	4.70
309.00	0.00	3453.16	-1741.87	0.00	53.83	4.55
310.00	0.00	3450.08	-1746.94	0.00	53.90	4.39
311.00	0.00	3447.00	-1752.02	0.00	53.96	4.24
312.00	0.00	3443.90	-1757.08	0.00	54.02	4.09
313.00	0.00	3440.79	-1762.14	0.00	54.08	3.93
314.00	0.00	3437.68	-1767.20	0.00	54.14	3.78
315.00	0.00	3434.56	-1772.25	0.00	54.20	3.62
316.00	0.00	3431.42	-1777.29	0.00	54.26	3.47
317.00	0.00	3428.28	-1782.33	0.00	54.32	3.31
318.00	0.00	3425.13	-1787.37	0.00	54.38	3.16
319.00	0.00	3421.97	-1792.39	0.00	54.43	3.00
320.00	0.00	3418.81	-1797.42	0.00	54.49	2.85
321.00	0.00	3415.63	-1802.44	0.00	54.55	2.69
322.00	0.00	3412.44	-1807.45	0.00	54.61	2.54
323.00	0.00	3409.25	-1812.45	0.00	54.66	2.38
324.00	0.00	3406.04	-1817.46	0.00	54.72	2.23
325.00	0.00	3402.83	-1822.45	0.00	54.78	2.07
326.00	0.00	3399.61	-1827.44	0.00	54.83	1.92
327.00	0.00	3396.38	-1832.43	0.00	54.89	1.76
328.00	0.00	3393.14	-1837.41	0.00	54.94	1.60
329.00	0.00	3389.90	-1842.38	0.00	55.00	1.45
330.00	0.00	3386.64	-1847.35	0.00	55.05	1.29
331.00	0.00	3383.37	-1852.31	0.00	55.11	1.14
332.00	0.00	3380.10	-1857.26	0.00	55.16	0.98
333.00	0.00	3376.82	-1862.22	0.00	55.21	0.82
334.00	0.00	3373.53	-1867.16	0.00	55.26	0.67
335.00	0.00	3370.23	-1872.10	0.00	55.32	0.51
336.00	0.00	3366.92	-1877.03	0.00	55.37	0.35
337.00	0.00	3363.60	-1881.96	0.00	55.42	0.20
338.00	0.00	3360.28	-1886.88	0.00	55.47	0.04
339.00	0.00	3356.94	-1891.80	0.00	55.52	-0.12
340.00	0.00	3353.60	-1896.71	0.00	55.57	-0.28
341.00	0.00	3350.25	-1901.62	0.00	55.62	-0.43
342.00	0.00	3346.89	-1906.52	0.00	55.67	-0.59
343.00	0.00	3343.52	-1911.41	0.00	55.72	-0.75
344.00	0.00	3340.14	-1916.30	0.00	55.77	-0.91
345.00	0.00	3336.75	-1921.18	0.00	55.82	-1.07
346.00	0.00	3333.36	-1926.05	0.00	55.87	-1.22
347.00	0.00	3329.95	-1930.92	0.00	55.92	-1.38
348.00	0.00	3326.54	-1935.79	0.00	55.97	-1.54
349.00	0.00	3323.12	-1940.65	0.00	56.01	-1.70
350.00	0.00	3319.69	-1945.50	0.00	56.06	-1.86
351.00	0.00	3316.25	-1950.35	0.00	56.11	-2.02
352.00	0.00	3312.81	-1955.18	0.00	56.15	-2.18
353.00	0.00	3309.35	-1960.02	0.00	56.20	-2.34
354.00	0.00	3305.89	-1964.85	0.00	56.25	-2.49
355.00	0.00	3302.42	-1969.67	0.00	56.29	-2.65
356.00	0.00	3298.94	-1974.49	0.00	56.33	-2.81
357.00	0.00	3295.45	-1979.30	0.00	56.38	-2.97
358.00	0.00	3291.95	-1984.10	0.00	56.42	-3.13
359.00	0.00	3288.44	-1988.90	0.00	56.47	-3.29
360.00	0.00	3284.93	-1993.69	0.00	56.51	-3.45
361.00	0.00	3281.40	-1998.48	0.00	56.55	-3.61
362.00	0.00	3277.87	-2003.26	0.00	56.60	-3.77
363.00	0.00	3274.33	-2008.03	0.00	56.64	-3.93
364.00	0.00	3270.79	-2012.80	0.00	56.68	-4.09
365.00	0.00	3267.23	-2017.56	0.00	56.72	-4.25
366.00	0.00	3263.66	-2022.32	0.00	56.76	-4.41
367.00	0.00	3260.09	-2027.07	0.00	56.80	-4.57
368.00	0.00	3256.51	-2031.81	0.00	56.84	-4.73
369.00	0.00	3252.92	-2036.55	0.00	56.88	-4.90
370.00	0.00	3249.32	-2041.28	0.00	56.92	-5.06
371.00	0.00	3245.71	-2046.00	0.00	56.96	-5.22
372.00	0.00	3242.10	-2050.72	0.00	57.00	-5.38
373.00	0.00	3238.47	-2055.44	0.00	57.04	-5.54
374.00	0.00	3234.84	-2060.14	0.00	57.08	-5.70
375.00	0.00	3231.20	-2064.84	0.00	57.12	-5.86
376.00	0.00	3227.55	-2069.53	0.00	57.15	-6.02
377.00	0.00	3223.90	-2074.22	0.00	57.19	-6.19
378.00	0.00	3220.23	-2078.90	0.00	57.23	-6.35
379.00	0.00	3216.56	-2083.58	0.00	57.27	-6.51
380.00	0.00	3212.88	-2088.24	0.00	57.30	-6.67
381.00	0.00	3209.19	-2092.91	0.00	57.34	-6.83
382.00	0.00	3205.49	-2097.56	0.00	57.37	-7.00
383.00	0.00	3201.78	-2102.21	0.00	57.41	-7.16
384.00	0.00	3198.07	-2106.85	0.00	57.44	-7.32
385.00	0.00	3194.35	-2111.49	0.00	57.48	-7.48
386.00	0.00	3190.61	-2116.12	0.00	57.51	-7.65
387.00	0.00	3186.88	-2120.74	0.00	57.54	-7.81
388.00	0.00	3183.13	-2125.36	0.00	57.58	-7.97
389.00	0.00	3179.37	-2129.97	0.00	57.61	-8.13
390.00	0.00	3175.61	-2134.58	0.00	57.64	-8.30
391.00	0.00	3171.84	-2139.17	0.00	57.67	-8.46
392.00	0.00	3168.06	-2143.76	0.00	57.71	-8.62
393.00	0.00	3164.27	-2148.35	0.00	57.74	-8.79
394.00	0.00	3160.48	-2152.92	0.00	57.77	-8.95
395.00	0.00	3156.67	-2157.50	0.00	57.80	-9.11
396.00	0.00	3152.86	-2162.06	0.00	57.83	-9.28
397.00	0.00	3149.04	-2166.62	0.00	57.86	-9.44
398.00	0.00	3145.21	-2171.17	0.00	57.89	-9.61
399.00	0.00	3141.38	-2175.72	0.00	57.92	-9.77
400.00	0.00	3137.53	-2180.25	0.00	57.95	-9.93
401.00	0.00	3133.68	-2184.79	0.00	57.97	-10.10
402.00	0.00	3129.82	-2189.31	0.00	58.00	-10.26
403.00	0.00	3125.95	-2193.83	0.00	58.03	-10.43
404.00	0.00	3122.08	-2198.34	0.00	58.06	-10.59
405.00	0.00	3118.19	-2202.84	0.00	58.08	-10.75
406.00	0.00	3114.30	-2207.34	0.00	58.11	-10.92
407.00	0.00	3110.40	-2211.84	0.00	58.14	-11.08
408.00	0.00	3106.49	-2216.32	0.00	58.16	-11.25
409.00	0.00	3102.58	-2220.80	0.00	58.19	-11.41
410.00	0.00	3098.65	-2225.27	0.00	58.21	-11.58
411.00	0.00	3094.72	-2229.73	0.00	58.24	-11.74
412.00	0.00	3090.78	-2234.19	0.00	58.26	-11.91
413.00	0.00	3086.84	-2238.64	0.00	58.29	-12.07
414.00	0.00	3082.88	-2243.08	0.00	58.31	-12.24
415.00	0.00	3078.92	-2247.52	0.00	58.33	-12.41
416.00	0.00	3074.95	-2251.95	0.00	58.36	-12.57
417.00	0.00	3070.97	-2256.38	0.00	58.38	-12.74
418.00	0.00	3066.98	-2260.79	0.00	58.40	-12.90
419.00	0.00	3062.99	-2265.20	0.00	58.42	-13.07
420.00	0.00	3058.99	-2269.61	0.00	58.44	-13.23
421.00	0.00	3054.98	-2274.00	0.00	58.47	-13.40
422.00	0.00	3050.96	-2278.39	0.00	58.49	-13.57
423.00	0.00	3046.94	-2282.77	0.00	58.51	-13.73
424.00	0.00	3042.90	-2287.15	0.00	58.53	-13.90
425.00	0.00	3038.86	-2291.52	0.00	58.55	-14.06
426.00	0.00	3034.81	-2295.88	0.00	58.57	-14.23
427.00	0.00	3030.76	-2300.23	0.00	58.58	-14.40
428.00	0.00	3026.69	-2304.58	0.00	58.60	-14.56
429.00	0.00	3022.62	-2308.92	0.00	58.62	-14.73
430.00	0.00	3018.54	-2313.25	0.00	58.64	-14.90
431.00	0.00	3014.46	-2317.58	0.00	58.66	-15.07
432.00	0.00	3010.36	-2321.90	0.00	58.67	-15.23
433.00	0.00	3006.26	-2326.21	0.00	58.69	-15.40
434.00	0.00	3002.15	-2330.51	0.00	58.71	-15.57
435.00	0.00	2998.04	-2334.81	0.00	58.72	-15.73
436.00	0.00	2993.91	-2339.10	0.00	58.74	-15.90
437.00	0.00	2989.78	-2343.39	0.00	58.75	-16.07
438.00	0.00	2985.64	-2347.66	0.00	58.77	-16.24
439.00	0.00	2981.49	-2351.93	0.00	58.78	-16.40
440.00	0.00	2977.33	-2356.19	0.00	58.80	-16.57
441.00	0.00	2973.17	-2360.45	0.00	58.81	-16.74
442.00	0.00	2969.00	-2364.69	0.00	58.82	-16.91
443.00	0.00	2964.83	-2368.93	0.00	58.84	-17.07
444.00	0.00	2960.64	-2373.17	0.00	58.85	-17.24
445.00	0.00	2956.45	-2377.39	0.00	58.86	-17.41
446.00	0.00	2952.25	-2381.61	0.00	58.87	-17.58
447.00	0.00	2948.04	-2385.82	0.00	58.88	-17.75
448.00	0.00	2943.83	-2390.03	0.00	58.90	-17.92
449.00	0.00	2939.60	-2394.23	0.00	58.91	-18.08
450.00	0.00	2935.38	-2398.42	0.00	58.92	-18.25
451.00	0.00	2931.14	-2402.60	0.00	58.93	-18.42
452.00	0.00	2926.89	-2406.77	0.00	58.94	-18.59
