Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	79.34	-11.16	-1.32
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	79.37	-11.19	-1.23
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	79.40	-11.23	-1.15
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	79.44	-11.27	-1.06
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	79.48	-11.30	-0.99
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	79.51	-11.33	-0.92
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	79.53	-11.36	-0.86
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	79.55	-11.39	-0.80
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	79.56	-11.43	-0.75
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	79.56	-11.46	-0.69
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	79.57	-11.50	-0.63
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	79.63	-11.54	-0.55
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	79.69	-11.59	-0.47
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	79.76	-11.64	-0.39
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	79.83	-11.69	-0.32
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	79.89	-11.74	-0.24
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	79.95	-11.78	-0.17
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	80.00	-11.82	-0.10
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	80.06	-11.86	-0.03
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	80.11	-11.90	0.04
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	80.17	-11.93	0.12
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	80.24	-11.97	0.19
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	80.30	-12.03	0.24
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	80.35	-12.10	0.30
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	80.40	-12.16	0.35
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	80.45	-12.22	0.40
2008-10-06T08:27:40	4836.71	-1845.01	-50.89	80.51	-12.28	0.45
2008-10-06T08:27:42	4829.91	-1835.22	-51.20	80.56	-12.34	0.50
2008-10-06T08:27:44	4823.10	-1825.43	-51.51	80.62	-12.39	0.56
2008-10-06T08:27:46	4816.29	-1815.64	-51.82	80.68	-12.44	0.62
2008-10-06T08:27:48	4809.48	-1805.84	-52.13	80.73	-12.49	0.69
2008-10-06T08:27:50	4802.66	-1796.05	-52.44	80.78	-12.55	0.74
2008-10-06T08:27:52	4795.84	-1786.25	-52.75	80.84	-12.61	0.80
2008-10-06T08:27:54	4789.02	-1776.45	-53.06	80.89	-12.67	0.85
2008-10-06T08:27:56	4782.19	-1766.66	-53.37	80.91	-12.74	0.89
2008-10-06T08:27:58	4775.37	-1756.86	-53.68	80.94	-12.80	0.94
2008-10-06T08:28:00	4768.53	-1747.05	-53.99	80.96	-12.86	0.98
2008-10-06T08:28:02	4761.70	-1737.25	-54.30	80.98	-12.92	1.04
2008-10-06T08:28:04	4754.86	-1727.45	-54.61	81.02	-12.98	1.08
2008-10-06T08:28:06	4748.02	-1717.64	-54.92	81.06	-13.03	1.13
2008-10-06T08:28:08	4741.17	-1707.84	-55.23	81.12	-13.08	1.15
2008-10-06T08:28:10	4734.32	-1698.03	-55.54	81.18	-13.12	1.17
2008-10-06T08:28:12	4727.47	-1688.22	-55.85	81.23	-13.16	1.20
2008-10-06T08:28:14	4720.62	-1678.41	-56.16	81.29	-13.20	1.22
2008-10-06T08:28:16	4713.76	-1668.60	-56.47	81.35	-13.24	1.25
2008-10-06T08:28:18	4706.90	-1658.79	-56.78	81.40	-13.27	1.28
2008-10-06T08:28:20	4700.04	-1648.98	-57.09	81.44	-13.30	1.31
2008-10-06T08:28:22	4693.17	-1639.16	-57.40	81.47	-13.33	1.35
2008-10-06T08:28:24	4686.30	-1629.35	-57.71	81.51	-13.36	1.38
2008-10-06T08:28:26	4679.42	-1619.53	-58.02	81.55	-13.39	1.41
2008-10-06T08:28:28	4672.54	-1609.71	-58.33	81.59	-13.41	1.44
2008-10-06T08:28:30	4665.66	-1599.89	-58.64	81.63	-13.44	1.47
2008-10-06T08:28:32	4658.78	-1590.07	-58.95	81.67	-13.47	1.51
2008-10-06T08:28:34	4651.89	-1580.25	-59.26	81.73	-13.50	1.54
2008-10-06T08:28:36	4645.00	-1570.43	-59.57	81.78	-13.54	1.59
2008-10-06T08:28:38	4638.11	-1560.60	-59.88	81.82	-13.59	1.64
2008-10-06T08:28:40	4631.21	-1550.78	-60.19	81.87	-13.64	1.69
2008-10-06T08:28:42	4624.31	-1540.95	-60.49	81.89	-13.68	1.74
2008-10-06T08:28:44	4617.40	-1531.12	-60.80	81.91	-13.73	1.79
2008-10-06T08:28:46	4610.49	-1521.30	-61.11	81.92	-13.78	1.83
2008-10-06T08:28:48	4603.58	-1511.47	-61.42	81.94	-13.82	1.88
2008-10-06T08:28:50	4596.66	-1501.63	-61.73	81.96	-13.86	1.92
2008-10-06T08:28:52	4589.74	-1491.80	-62.04	81.98	-13.91	1.97
2008-10-06T08:28:54	4582.82	-1481.97	-62.35	81.97	-13.96	2.00
2008-10-06T08:28:56	4575.90	-1472.13	-62.65	81.96	-14.01	2.02
2008-10-06T08:28:58	4568.97	-1462.30	-62.96	81.95	-14.07	2.05
2008-10-06T08:29:00	4562.03	-1452.46	-63.27	81.94	-14.13	2.07
2008-10-06T08:29:02	4555.09	-1442.62	-63.58	81.92	-14.19	2.09
2008-10-06T08:29:04	4548.15	-1432.78	-63.89	81.91	-14.25	2.12
2008-10-06T08:29:06	4541.21	-1422.94	-64.20	81.90	-14.29	2.13
2008-10-06T08:29:08	4534.26	-1413.10	-64.51	81.88	-14.34	2.13
2008-10-06T08:29:10	4527.31	-1403.26	-64.82	81.87	-14.36	2.14
2008-10-06T08:29:12	4520.35	-1393.41	-65.12	81.87	-14.38	2.15
2008-10-06T08:29:14	4513.39	-1383.57	-65.43	81.88	-14.40	2.16
2008-10-06T08:29:16	4506.43	-1373.72	-65.74	81.89	-14.43	2.19
2008-10-06T08:29:18	4499.46	-1363.87	-66.05	81.92	-14.46	2.23
2008-10-06T08:29:20	4492.50	-1354.02	-66.36	81.95	-14.49	2.27
2008-10-06T08:29:22	4485.52	-1344.17	-66.67	81.98	-14.52	2.32
2008-10-06T08:29:24	4478.54	-1334.32	-66.97	82.01	-14.54	2.37
2008-10-06T08:29:26	4471.56	-1324.47	-67.28	82.04	-14.55	2.41
2008-10-06T08:29:28	4464.58	-1314.61	-67.59	82.07	-14.56	2.45
2008-10-06T08:29:30	4457.58	-1304.76	-67.90	82.10	-14.57	2.49
2008-10-06T08:29:32	4450.59	-1294.90	-68.21	82.13	-14.58	2.53
2008-10-06T08:29:34	4443.59	-1285.04	-68.51	82.16	-14.59	2.58
2008-10-06T08:29:36	4436.59	-1275.19	-68.82	82.19	-14.61	2.64
2008-10-06T08:29:38	4429.59	-1265.33	-69.13	82.22	-14.63	2.70
2008-10-06T08:29:40	4422.58	-1255.47	-69.44	82.24	-14.65	2.76
2008-10-06T08:29:42	4415.57	-1245.60	-69.74	82.24	-14.67	2.81
2008-10-06T08:29:44	4408.55	-1235.74	-70.05	82.24	-14.69	2.86
2008-10-06T08:29:46	4401.53	-1225.88	-70.36	82.24	-14.72	2.91
2008-10-06T08:29:48	4394.50	-1216.01	-70.66	82.23	-14.75	2.98
2008-10-06T08:29:50	4387.47	-1206.14	-70.97	82.23	-14.78	3.04
2008-10-06T08:29:52	4380.44	-1196.28	-71.28	82.23	-14.86	3.09
2008-10-06T08:29:54	4373.40	-1186.41	-71.59	82.24	-14.94	3.14
2008-10-06T08:29:56	4366.36	-1176.54	-71.89	82.25	-15.02	3.18
2008-10-06T08:29:58	4359.32	-1166.66	-72.20	82.26	-15.10	3.23
2008-10-06T08:30:00	4352.26	-1156.79	-72.51	82.28	-15.18	3.28
2008-10-06T08:30:02	4345.21	-1146.92	-72.81	82.30	-15.26	3.33
2008-10-06T08:30:04	4338.15	-1137.04	-73.12	82.35	-15.34	3.38
2008-10-06T08:30:06	4331.09	-1127.17	-73.43	82.40	-15.41	3.43
2008-10-06T08:30:08	4324.02	-1117.29	-73.73	82.44	-15.48	3.48
2008-10-06T08:30:10	4316.95	-1107.41	-74.04	82.48	-15.55	3.53
2008-10-06T08:30:12	4309.88	-1097.53	-74.35	82.52	-15.61	3.57
2008-10-06T08:30:14	4302.80	-1087.65	-74.65	82.55	-15.68	3.61
2008-10-06T08:30:16	4295.72	-1077.77	-74.96	82.54	-15.79	3.67
2008-10-06T08:30:18	4288.63	-1067.89	-75.27	82.54	-15.88	3.72
2008-10-06T08:30:20	4281.54	-1058.00	-75.57	82.55	-15.98	3.77
2008-10-06T08:30:22	4274.44	-1048.12	-75.88	82.56	-16.07	3.81
2008-10-06T08:30:24	4267.34	-1038.23	-76.18	82.59	-16.15	3.84
2008-10-06T08:30:26	4260.23	-1028.35	-76.49	82.58	-16.22	3.86
2008-10-06T08:30:28	4253.12	-1018.46	-76.80	82.52	-16.29	3.85
2008-10-06T08:30:30	4246.01	-1008.57	-77.10	82.46	-16.35	3.85
2008-10-06T08:30:32	4238.89	-998.68	-77.41	82.40	-16.42	3.85
2008-10-06T08:30:34	4231.77	-988.79	-77.71	82.35	-16.49	3.87
2008-10-06T08:30:36	4224.64	-978.89	-78.02	82.30	-16.55	3.89
2008-10-06T08:30:38	4217.51	-969.00	-78.32	82.36	-16.65	3.85
2008-10-06T08:30:40	4210.37	-959.11	-78.63	82.47	-16.76	3.76
2008-10-06T08:30:42	4203.23	-949.21	-78.93	82.58	-16.85	3.67
2008-10-06T08:30:44	4196.09	-939.31	-79.24	82.69	-16.94	3.59
2008-10-06T08:30:46	4188.93	-929.41	-79.54	82.81	-17.02	3.51
2008-10-06T08:30:48	4181.78	-919.51	-79.85	82.94	-17.11	3.42
2008-10-06T08:30:50	4174.62	-909.61	-80.15	83.08	-17.22	3.51
2008-10-06T08:30:52	4167.45	-899.71	-80.46	83.22	-17.33	3.63
2008-10-06T08:30:54	4160.29	-889.81	-80.76	83.36	-17.42	3.76
2008-10-06T08:30:56	4153.11	-879.91	-81.07	83.50	-17.51	3.89
2008-10-06T08:30:58	4145.93	-870.00	-81.37	83.63	-17.59	4.02
2008-10-06T08:31:00	4138.75	-860.10	-81.68	83.76	-17.65	4.15
2008-10-06T08:31:02	4131.56	-850.19	-81.98	83.68	-17.69	4.29
2008-10-06T08:31:04	4124.37	-840.28	-82.29	83.57	-17.74	4.42
2008-10-06T08:31:06	4117.17	-830.38	-82.59	83.47	-17.80	4.53
2008-10-06T08:31:08	4109.97	-820.47	-82.89	83.38	-17.85	4.62
2008-10-06T08:31:10	4102.76	-810.56	-83.20	83.29	-17.90	4.69
2008-10-06T08:31:12	4095.55	-800.64	-83.50	83.10	-17.93	4.72
2008-10-06T08:31:14	4088.33	-790.73	-83.81	82.61	-17.91	4.69
2008-10-06T08:31:16	4081.11	-780.82	-84.11	82.14	-17.90	4.67
2008-10-06T08:31:18	4073.88	-770.90	-84.41	81.70	-17.89	4.64
2008-10-06T08:31:20	4066.65	-760.99	-84.72	81.29	-17.87	4.63
2008-10-06T08:31:22	4059.41	-751.07	-85.02	80.88	-17.86	4.64
2008-10-06T08:31:24	4052.17	-741.15	-85.32	80.73	-17.86	4.71
2008-10-06T08:31:26	4044.92	-731.24	-85.63	80.73	-17.79	4.86
2008-10-06T08:31:28	4037.67	-721.32	-85.93	80.65	-17.64	5.07
2008-10-06T08:31:30	4030.41	-711.40	-86.23	80.49	-17.42	5.33
2008-10-06T08:31:32	4023.15	-701.48	-86.54	80.24	-17.13	5.64
2008-10-06T08:31:34	4015.88	-691.55	-86.84	80.00	-16.89	5.91
2008-10-06T08:31:36	4008.61	-681.63	-87.14	79.75	-17.10	5.74
2008-10-06T08:31:38	4001.33	-671.71	-87.44	79.60	-17.36	5.53
2008-10-06T08:31:40	3994.05	-661.78	-87.74	79.57	-17.57	5.42
2008-10-06T08:31:42	3986.76	-651.86	-88.05	79.66	-17.72	5.42
2008-10-06T08:31:44	3979.47	-641.93	-88.35	79.88	-17.83	5.51
2008-10-06T08:31:46	3972.17	-632.00	-88.65	80.21	-17.88	5.70
2008-10-06T08:31:48	3964.86	-622.07	-88.96	80.51	-17.54	5.64
2008-10-06T08:31:50	3957.55	-612.14	-89.26	80.46	-17.24	5.23
2008-10-06T08:31:52	3950.24	-602.21	-89.56	80.29	-16.96	4.72
2008-10-06T08:31:54	3942.92	-592.28	-89.86	80.10	-16.66	4.27
2008-10-06T08:31:56	3935.59	-582.35	-90.16	79.91	-16.35	3.86
2008-10-06T08:31:58	3928.26	-572.42	-90.46	79.83	-16.20	3.63
2008-10-06T08:32:00	3920.92	-562.48	-90.76	80.25	-16.54	3.94
2008-10-06T08:32:02	3913.58	-552.55	-91.06	80.84	-16.85	4.36
2008-10-06T08:32:04	3906.23	-542.61	-91.37	81.60	-17.12	4.90
2008-10-06T08:32:06	3898.88	-532.68	-91.67	82.13	-17.42	5.31
2008-10-06T08:32:08	3891.52	-522.74	-91.97	82.51	-17.61	5.56
2008-10-06T08:32:10	3884.15	-512.80	-92.27	82.32	-17.57	5.19
2008-10-06T08:32:12	3876.78	-502.86	-92.57	81.73	-17.45	4.26
2008-10-06T08:32:14	3869.40	-492.92	-92.87	81.28	-17.47	3.29
2008-10-06T08:32:16	3862.02	-482.98	-93.17	80.97	-17.63	2.28
2008-10-06T08:32:18	3854.63	-473.04	-93.47	80.80	-17.93	1.22
2008-10-06T08:32:20	3847.24	-463.10	-93.77	80.74	-18.36	0.19
2008-10-06T08:32:22	3839.84	-453.16	-94.07	80.13	-17.97	-0.05
2008-10-06T08:32:24	3832.44	-443.22	-94.37	79.43	-17.20	-0.23
2008-10-06T08:32:26	3825.03	-433.27	-94.67	78.84	-16.38	-0.43
2008-10-06T08:32:28	3817.61	-423.33	-94.96	78.35	-15.49	-0.65
2008-10-06T08:32:30	3810.19	-413.38	-95.26	77.97	-14.53	-0.90
2008-10-06T08:32:32	3802.76	-403.44	-95.56	77.70	-13.52	-1.16
2008-10-06T08:32:34	3795.32	-393.49	-95.86	77.77	-13.05	-1.50
2008-10-06T08:32:36	3787.88	-383.54	-96.16	77.65	-12.71	-1.89
2008-10-06T08:32:38	3780.44	-373.60	-96.46	77.34	-12.32	-2.14
2008-10-06T08:32:40	3772.98	-363.65	-96.76	77.00	-11.83	-2.28
2008-10-06T08:32:42	3765.53	-353.70	-97.06	76.63	-11.23	-2.30
2008-10-06T08:32:44	3758.06	-343.75	-97.35	76.21	-10.61	-2.09
2008-10-06T08:32:46	3750.59	-333.80	-97.65	75.83	-10.32	-1.51
2008-10-06T08:32:48	3743.11	-323.85	-97.95	75.60	-10.21	-1.06
2008-10-06T08:32:50	3735.63	-313.90	-98.25	75.50	-10.30	-0.76
2008-10-06T08:32:52	3728.14	-303.94	-98.54	75.59	-10.14	-0.51
2008-10-06T08:32:54	3720.64	-293.99	-98.84	75.71	-9.84	-0.28
2008-10-06T08:32:56	3713.14	-284.04	-99.14	75.14	-9.28	-0.10
2008-10-06T08:32:58	3705.64	-274.09	-99.43	73.94	-8.56	-0.06
2008-10-06T08:33:00	3698.12	-264.13	-99.73	72.87	-7.98	-0.16
2008-10-06T08:33:02	3690.60	-254.18	-100.03	71.92	-7.53	-0.43
2008-10-06T08:33:04	3683.07	-244.22	-100.32	71.09	-7.24	-0.85
2008-10-06T08:33:06	3675.54	-234.27	-100.62	70.33	-7.10	-1.38
2008-10-06T08:33:08	3668.00	-224.31	-100.92	69.65	-6.44	-1.25
2008-10-06T08:33:10	3660.45	-214.35	-101.21	69.18	-5.55	-1.13
2008-10-06T08:33:12	3652.90	-204.40	-101.51	68.83	-4.63	-1.18
2008-10-06T08:33:14	3645.34	-194.44	-101.80	68.60	-3.70	-1.41
2008-10-06T08:33:16	3637.77	-184.48	-102.10	68.49	-2.75	-1.82
2008-10-06T08:33:18	3630.20	-174.53	-102.39	68.52	-1.78	-2.41
2008-10-06T08:33:20	3622.62	-164.57	-102.69	69.57	-2.03	-1.44
2008-10-06T08:33:22	3615.04	-154.61	-102.98	70.18	-2.14	0.16
2008-10-06T08:33:24	3607.44	-144.65	-103.28	70.62	-2.07	1.98
2008-10-06T08:33:26	3599.84	-134.69	-103.57	71.12	-1.86	3.77
2008-10-06T08:33:28	3592.24	-124.73	-103.87	71.69	-1.50	5.54
2008-10-06T08:33:30	3584.63	-114.77	-104.16	72.49	-0.99	6.95
2008-10-06T08:33:32	3577.01	-104.81	-104.45	73.79	-0.48	7.38
2008-10-06T08:33:34	3569.38	-94.85	-104.75	75.15	-0.08	7.76
2008-10-06T08:33:36	3561.75	-84.89	-105.04	76.56	0.19	8.08
2008-10-06T08:33:38	3554.11	-74.93	-105.33	77.61	0.35	8.42
2008-10-06T08:33:40	3546.46	-64.97	-105.63	78.56	0.51	9.01
2008-10-06T08:33:42	3538.81	-55.01	-105.92	78.94	0.85	9.92
2008-10-06T08:33:44	3531.14	-45.05	-106.21	78.96	1.38	10.91
2008-10-06T08:33:46	3523.48	-35.09	-106.50	79.10	1.92	11.83
2008-10-06T08:33:48	3515.80	-25.12	-106.80	79.37	2.49	12.67
2008-10-06T08:33:50	3508.12	-15.16	-107.09	79.77	3.06	13.44
2008-10-06T08:33:52	3500.43	-5.20	-107.38	80.14	3.34	14.13
2008-10-06T08:33:54	3492.73	4.76	-107.67	79.84	2.92	14.77
2008-10-06T08:33:56	3485.03	14.72	-107.96	79.44	2.51	15.42
2008-10-06T08:33:58	3477.32	24.68	-108.25	79.11	2.23	16.04
2008-10-06T08:34:00	3469.60	34.64	-108.54	78.87	2.08	16.62
2008-10-06T08:34:02	3461.87	44.61	-108.83	78.71	2.06	17.17
2008-10-06T08:34:04	3454.14	54.57	-109.12	78.64	2.16	17.69
2008-10-06T08:34:06	3446.40	64.53	-109.41	78.78	1.97	18.24
2008-10-06T08:34:08	3438.66	74.49	-109.70	78.97	1.75	18.98
2008-10-06T08:34:10	3430.90	84.45	-110.00	79.07	1.59	19.62
2008-10-06T08:34:12	3423.14	94.41	-110.28	79.05	1.48	20.18
2008-10-06T08:34:14	3415.37	104.37	-110.57	78.94	1.42	20.65
2008-10-06T08:34:16	3407.59	114.33	-110.86	78.60	1.38	20.92
2008-10-06T08:34:18	3399.81	124.29	-111.15	77.90	1.29	20.88
2008-10-06T08:34:20	3392.01	134.25	-111.44	77.14	1.19	20.84
2008-10-06T08:34:22	3384.22	144.21	-111.73	76.40	1.09	20.93
2008-10-06T08:34:24	3376.41	154.17	-112.01	75.67	1.03	21.05
2008-10-06T08:34:26	3368.59	164.13	-112.30	74.93	1.01	21.17
2008-10-06T08:34:28	3360.77	174.09	-112.59	74.59	0.98	21.39
2008-10-06T08:34:30	3352.94	184.05	-112.88	74.60	0.94	21.69
2008-10-06T08:34:32	3345.10	194.01	-113.16	74.63	0.92	22.00
2008-10-06T08:34:34	3337.26	203.96	-113.45	74.68	0.91	22.32
2008-10-06T08:34:36	3329.40	213.92	-113.74	74.74	0.88	22.65
2008-10-06T08:34:38	3321.54	223.88	-114.02	74.78	0.87	22.98
2008-10-06T08:34:40	3313.67	233.83	-114.31	74.91	0.88	23.32
2008-10-06T08:34:42	3305.79	243.79	-114.59	75.08	0.87	23.67
2008-10-06T08:34:44	3297.91	253.75	-114.88	75.26	0.82	24.03
2008-10-06T08:34:46	3290.02	263.70	-115.16	75.47	0.74	24.40
2008-10-06T08:34:48	3282.11	273.65	-115.45	75.69	0.63	24.78
2008-10-06T08:34:50	3274.20	283.61	-115.73	75.87	0.48	25.18
2008-10-06T08:34:52	3266.29	293.56	-116.02	75.56	0.36	25.60
2008-10-06T08:34:54	3258.36	303.51	-116.30	75.29	0.25	26.03
2008-10-06T08:34:56	3250.43	313.46	-116.58	75.06	0.15	26.47
2008-10-06T08:34:58	3242.49	323.41	-116.87	74.86	0.06	26.91
2008-10-06T08:35:00	3234.53	333.36	-117.15	74.70	-0.03	27.36
2008-10-06T08:35:02	3226.58	343.31	-117.43	74.61	-0.10	27.87
2008-10-06T08:35:04	3218.61	353.26	-117.71	74.59	-0.18	28.50
2008-10-06T08:35:06	3210.63	363.21	-118.00	74.53	-0.23	29.12
2008-10-06T08:35:08	3202.65	373.15	-118.28	74.47	-0.28	29.79
2008-10-06T08:35:10	3194.66	383.10	-118.56	74.43	-0.33	30.49
2008-10-06T08:35:12	3186.66	393.04	-118.84	74.40	-0.37	31.23
2008-10-06T08:35:14	3178.65	402.99	-119.12	74.44	-0.42	31.98
2008-10-06T08:35:16	3170.64	412.93	-119.40	74.55	-0.48	32.69
2008-10-06T08:35:18	3162.61	422.87	-119.68	74.68	-0.55	33.39
2008-10-06T08:35:20	3154.58	432.81	-119.96	74.86	-0.65	34.14
2008-10-06T08:35:22	3146.54	442.75	-120.24	75.02	-0.73	34.89
2008-10-06T08:35:24	3138.48	452.69	-120.52	75.15	-0.79	35.65
2008-10-06T08:35:26	3130.42	462.62	-120.80	75.41	-0.80	36.32
2008-10-06T08:35:28	3122.36	472.56	-121.08	75.71	-0.79	36.97
2008-10-06T08:35:30	3114.28	482.49	-121.35	76.02	-0.75	37.62
2008-10-06T08:35:32	3106.19	492.42	-121.63	76.36	-0.69	38.29
2008-10-06T08:35:34	3098.10	502.35	-121.91	76.79	-0.60	38.93
2008-10-06T08:35:36	3090.00	512.29	-122.19	77.22	-0.55	39.55
2008-10-06T08:35:38	3081.88	522.21	-122.46	77.59	-0.36	40.18
2008-10-06T08:35:40	3073.76	532.14	-122.74	77.95	-0.14	40.78
2008-10-06T08:35:42	3065.63	542.07	-123.02	78.30	0.11	41.37
2008-10-06T08:35:44	3057.50	551.99	-123.29	78.65	0.40	41.94
2008-10-06T08:35:46	3049.35	561.91	-123.57	79.00	0.72	42.50
2008-10-06T08:35:48	3041.19	571.83	-123.84	79.25	0.99	43.10
2008-10-06T08:35:50	3033.02	581.75	-124.12	79.37	1.15	43.68
2008-10-06T08:35:52	3024.85	591.67	-124.39	79.61	1.32	44.28
2008-10-06T08:35:54	3016.67	601.58	-124.66	79.96	1.51	44.91
2008-10-06T08:35:56	3008.48	611.50	-124.94	80.41	1.70	45.55
2008-10-06T08:35:58	3000.28	621.41	-125.21	80.98	1.91	46.21
2008-10-06T08:36:00	2992.06	631.32	-125.48	81.36	2.11	46.82
2008-10-06T08:36:02	2983.84	641.23	-125.76	81.16	2.34	47.31
2008-10-06T08:36:04	2975.61	651.14	-126.03	81.03	2.55	47.90
2008-10-06T08:36:06	2967.38	661.04	-126.30	81.06	2.74	48.62
2008-10-06T08:36:08	2959.13	670.94	-126.57	81.23	2.90	49.45
2008-10-06T08:36:10	2950.87	680.84	-126.84	81.55	3.03	50.39
2008-10-06T08:36:12	2942.61	690.74	-127.11	82.02	3.28	51.07
2008-10-06T08:36:14	2934.33	700.64	-127.38	82.57	3.44	51.54
2008-10-06T08:36:16	2926.05	710.53	-127.65	82.93	3.69	51.79
2008-10-06T08:36:18	2917.75	720.42	-127.92	83.31	3.96	52.12
2008-10-06T08:36:20	2909.45	730.31	-128.19	83.77	4.21	52.57
2008-10-06T08:36:22	2901.14	740.20	-128.46	84.30	4.46	53.15
2008-10-06T08:36:24	2892.81	750.08	-128.72	84.42	5.08	53.96
2008-10-06T08:36:26	2884.48	759.96	-128.99	84.63	5.58	54.74
2008-10-06T08:36:28	2876.14	769.84	-129.26	84.96	5.97	55.49
2008-10-06T08:36:30	2867.79	779.72	-129.52	84.29	6.59	55.65
2008-10-06T08:36:32	2859.43	789.59	-129.79	83.43	7.25	55.65
2008-10-06T08:36:34	2851.06	799.47	-130.06	82.33	7.84	55.52
2008-10-06T08:36:36	2842.68	809.34	-130.32	80.96	7.96	55.41
2008-10-06T08:36:38	2834.29	819.20	-130.59	79.68	8.01	55.41
2008-10-06T08:36:40	2825.89	829.07	-130.85	78.51	7.99	55.52
2008-10-06T08:36:42	2817.48	838.93	-131.11	77.52	7.89	55.79
2008-10-06T08:36:44	2809.06	848.78	-131.38	77.21	7.63	56.55
2008-10-06T08:36:46	2800.63	858.64	-131.64	77.42	7.61	57.57
2008-10-06T08:36:48	2792.20	868.49	-131.90	78.38	7.92	58.65
2008-10-06T08:36:50	2783.75	878.34	-132.17	79.43	8.16	59.52
2008-10-06T08:36:52	2775.29	888.18	-132.43	80.56	8.33	60.21
2008-10-06T08:36:54	2766.82	898.03	-132.69	81.78	8.44	60.69
2008-10-06T08:36:56	2758.35	907.87	-132.95	82.80	8.23	61.01
2008-10-06T08:36:58	2749.86	917.70	-133.21	82.90	7.64	61.24
2008-10-06T08:37:00	2741.36	927.54	-133.47	82.82	7.23	61.37
2008-10-06T08:37:02	2732.86	937.37	-133.73	82.96	6.94	61.48
2008-10-06T08:37:04	2724.34	947.19	-133.99	83.32	6.75	61.56
2008-10-06T08:37:06	2715.82	957.02	-134.24	83.90	6.68	61.62
2008-10-06T08:37:08	2707.28	966.84	-134.50	84.69	6.71	61.66
2008-10-06T08:37:10	2698.73	976.65	-134.76	84.01	7.51	62.16
2008-10-06T08:37:12	2690.17	986.47	-135.01	82.94	8.54	62.76
2008-10-06T08:37:14	2681.61	996.27	-135.27	82.12	9.41	63.31
2008-10-06T08:37:16	2673.03	1006.08	-135.53	81.55	10.13	63.80
2008-10-06T08:37:18	2664.45	1015.88	-135.78	81.23	10.70	64.23
2008-10-06T08:37:20	2655.85	1025.68	-136.04	81.14	11.12	64.60
2008-10-06T08:37:22	2647.24	1035.47	-136.29	81.19	11.69	65.22
2008-10-06T08:37:24	2638.63	1045.26	-136.54	81.15	12.38	66.46
2008-10-06T08:37:26	2630.00	1055.05	-136.80	80.89	13.04	67.58
2008-10-06T08:37:28	2621.36	1064.83	-137.05	80.42	13.68	68.58
2008-10-06T08:37:30	2612.71	1074.61	-137.30	79.73	14.29	69.46
2008-10-06T08:37:32	2604.06	1084.38	-137.56	78.87	14.80	70.18
2008-10-06T08:37:34	2595.39	1094.15	-137.81	78.25	14.39	70.57
2008-10-06T08:37:36	2586.71	1103.91	-138.06	78.01	14.04	71.20
2008-10-06T08:37:38	2578.02	1113.67	-138.31	78.24	13.84	72.05
2008-10-06T08:37:40	2569.32	1123.43	-138.56	78.49	13.88	72.79
2008-10-06T08:37:42	2560.62	1133.18	-138.80	78.74	14.14	73.42
2008-10-06T08:37:44	2551.90	1142.93	-139.05	78.96	14.69	73.96
