AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	3939.99	0.00	-5.92	38.11	-24.01	35.64
2.00	3939.98	0.00	-11.84	38.67	-23.92	35.58
3.00	3939.95	0.00	-17.76	39.23	-23.83	35.52
4.00	3939.92	0.00	-23.68	39.79	-23.74	35.46
5.00	3939.87	0.00	-29.60	40.35	-23.65	35.40
6.00	3939.81	0.00	-35.52	40.91	-23.56	35.34
7.00	3939.74	0.00	-41.44	41.47	-23.47	35.29
8.00	3939.67	0.00	-47.36	42.04	-23.38	35.23
9.00	3939.58	0.00	-53.28	42.60	-23.29	35.17
10.00	3939.48	0.00	-59.20	43.17	-23.20	35.12
11.00	3939.37	0.00	-65.12	43.71	-22.89	35.10
12.00	3939.25	0.00	-71.03	44.26	-22.54	35.09
13.00	3939.12	0.00	-76.95	44.80	-22.19	35.08
14.00	3938.97	0.00	-82.87	45.35	-21.84	35.07
15.00	3938.82	0.00	-88.79	45.89	-21.49	35.05
16.00	3938.66	0.00	-94.71	46.44	-21.14	35.04
17.00	3938.49	0.00	-100.62	46.98	-20.78	35.02
18.00	3938.31	0.00	-106.54	47.52	-20.43	35.01
19.00	3938.11	0.00	-112.46	48.07	-20.08	34.99
20.00	3937.91	0.00	-118.37	48.62	-19.75	34.98
21.00	3937.70	0.00	-124.29	49.23	-19.54	34.96
22.00	3937.47	0.00	-130.21	49.83	-19.34	34.95
23.00	3937.24	0.00	-136.12	50.43	-19.13	34.95
24.00	3936.99	0.00	-142.04	51.04	-18.92	34.94
25.00	3936.74	0.00	-147.95	51.64	-18.71	34.93
26.00	3936.47	0.00	-153.87	52.25	-18.50	34.92
27.00	3936.19	0.00	-159.78	52.86	-18.29	34.92
28.00	3935.91	0.00	-165.69	53.46	-18.08	34.91
29.00	3935.61	0.00	-171.61	54.07	-17.86	34.91
30.00	3935.30	0.00	-177.52	54.53	-17.79	34.95
31.00	3934.98	0.00	-183.43	54.85	-17.85	35.02
32.00	3934.65	0.00	-189.34	55.17	-17.91	35.10
33.00	3934.31	0.00	-195.25	55.50	-17.98	35.18
34.00	3933.96	0.00	-201.16	55.82	-18.04	35.26
35.00	3933.60	0.00	-207.07	56.14	-18.11	35.35
36.00	3933.23	0.00	-212.98	56.46	-18.17	35.43
37.00	3932.85	0.00	-218.89	56.78	-18.24	35.52
38.00	3932.46	0.00	-224.79	57.11	-18.30	35.61
39.00	3932.06	0.00	-230.70	57.43	-18.37	35.71
40.00	3931.65	0.00	-236.60	57.77	-18.30	35.64
41.00	3931.22	0.00	-242.51	58.11	-18.21	35.54
42.00	3930.79	0.00	-248.41	58.45	-18.11	35.44
43.00	3930.34	0.00	-254.32	58.79	-18.01	35.34
44.00	3929.89	0.00	-260.22	59.13	-17.91	35.24
45.00	3929.43	0.00	-266.12	59.47	-17.81	35.14
46.00	3928.95	0.00	-272.02	59.80	-17.71	35.03
47.00	3928.47	0.00	-277.93	60.14	-17.60	34.93
48.00	3927.97	0.00	-283.83	60.48	-17.50	34.83
49.00	3927.47	0.00	-289.72	60.84	-17.41	34.71
50.00	3926.95	0.00	-295.62	61.34	-17.40	34.54
51.00	3926.42	0.00	-301.52	61.83	-17.41	34.36
52.00	3925.88	0.00	-307.41	62.33	-17.41	34.18
53.00	3925.34	0.00	-313.31	62.82	-17.41	33.99
54.00	3924.78	0.00	-319.20	63.32	-17.41	33.80
55.00	3924.21	0.00	-325.10	63.82	-17.42	33.61
56.00	3923.63	0.00	-330.99	64.33	-17.43	33.41
57.00	3923.04	0.00	-336.88	64.83	-17.44	33.21
58.00	3922.44	0.00	-342.77	65.34	-17.45	33.01
59.00	3921.83	0.00	-348.66	65.85	-17.48	32.84
60.00	3921.21	0.00	-354.55	66.37	-17.54	32.71
61.00	3920.58	0.00	-360.43	66.89	-17.60	32.59
62.00	3919.94	0.00	-366.32	67.41	-17.66	32.47
63.00	3919.29	0.00	-372.20	67.92	-17.73	32.35
64.00	3918.63	0.00	-378.09	68.42	-17.80	32.23
65.00	3917.95	0.00	-383.97	68.93	-17.88	32.12
66.00	3917.27	0.00	-389.85	69.43	-17.96	32.00
67.00	3916.58	0.00	-395.73	69.93	-18.04	31.88
68.00	3915.87	0.00	-401.61	70.42	-18.13	31.77
69.00	3915.16	0.00	-407.49	70.84	-18.00	31.75
70.00	3914.43	0.00	-413.37	71.23	-17.78	31.76
71.00	3913.70	0.00	-419.24	71.61	-17.57	31.77
72.00	3912.95	0.00	-425.11	72.00	-17.36	31.79
73.00	3912.20	0.00	-430.99	72.39	-17.16	31.80
74.00	3911.43	0.00	-436.86	72.77	-16.95	31.82
75.00	3910.66	0.00	-442.73	73.16	-16.75	31.85
76.00	3909.87	0.00	-448.60	73.55	-16.54	31.87
77.00	3909.07	0.00	-454.46	73.94	-16.34	31.90
78.00	3908.27	0.00	-460.33	74.33	-16.14	31.93
79.00	3907.45	0.00	-466.19	74.71	-15.73	31.87
80.00	3906.62	0.00	-472.06	75.10	-15.32	31.80
81.00	3905.78	0.00	-477.92	75.48	-14.89	31.73
82.00	3904.93	0.00	-483.78	75.86	-14.45	31.66
83.00	3904.07	0.00	-489.64	76.25	-14.00	31.60
84.00	3903.20	0.00	-495.50	76.63	-13.56	31.53
85.00	3902.32	0.00	-501.35	77.02	-13.13	31.45
86.00	3901.43	0.00	-507.21	77.42	-12.70	31.37
87.00	3900.54	0.00	-513.06	77.82	-12.28	31.29
88.00	3899.62	0.00	-518.91	78.21	-11.93	31.21
89.00	3898.70	0.00	-524.76	78.56	-11.82	31.16
90.00	3897.77	0.00	-530.60	78.91	-11.70	31.11
91.00	3896.83	0.00	-536.45	79.27	-11.59	31.05
92.00	3895.88	0.00	-542.30	79.62	-11.48	30.99
93.00	3894.92	0.00	-548.14	79.96	-11.37	30.93
94.00	3893.94	0.00	-553.98	80.31	-11.26	30.86
95.00	3892.96	0.00	-559.82	80.66	-11.15	30.79
96.00	3891.97	0.00	-565.66	81.00	-11.04	30.72
97.00	3890.96	0.00	-571.49	81.34	-10.93	30.65
98.00	3889.95	0.00	-577.33	81.64	-10.91	30.52
99.00	3888.93	0.00	-583.16	81.89	-10.99	30.34
100.00	3887.89	0.00	-588.99	82.15	-11.06	30.15
101.00	3886.85	0.00	-594.82	82.40	-11.13	29.97
102.00	3885.79	0.00	-600.65	82.66	-11.20	29.79
103.00	3884.73	0.00	-606.47	82.91	-11.26	29.62
104.00	3883.65	0.00	-612.30	83.17	-11.31	29.45
105.00	3882.56	0.00	-618.12	83.44	-11.36	29.29
106.00	3881.47	0.00	-623.94	83.70	-11.41	29.13
107.00	3880.36	0.00	-629.76	83.97	-11.45	28.98
108.00	3879.25	0.00	-635.57	84.14	-11.38	28.81
109.00	3878.12	0.00	-641.39	84.27	-11.25	28.65
110.00	3876.98	0.00	-647.20	84.39	-11.12	28.48
111.00	3875.83	0.00	-653.01	84.51	-10.99	28.30
112.00	3874.68	0.00	-658.82	84.64	-10.86	28.13
113.00	3873.51	0.00	-664.62	84.76	-10.73	27.95
114.00	3872.33	0.00	-670.43	84.89	-10.60	27.77
115.00	3871.14	0.00	-676.23	85.01	-10.47	27.59
116.00	3869.94	0.00	-682.03	85.13	-10.35	27.41
117.00	3868.73	0.00	-687.83	85.26	-10.22	27.22
118.00	3867.51	0.00	-693.62	85.42	-10.11	27.07
119.00	3866.28	0.00	-699.42	85.60	-9.99	26.93
120.00	3865.05	0.00	-705.21	85.78	-9.88	26.80
121.00	3863.80	0.00	-711.00	85.96	-9.78	26.66
122.00	3862.54	0.00	-716.79	86.14	-9.67	26.52
123.00	3861.27	0.00	-722.57	86.32	-9.57	26.39
124.00	3859.98	0.00	-728.35	86.50	-9.47	26.25
125.00	3858.69	0.00	-734.13	86.68	-9.37	26.12
126.00	3857.39	0.00	-739.91	86.86	-9.27	25.98
127.00	3856.08	0.00	-745.69	87.04	-9.18	25.85
128.00	3854.76	0.00	-751.46	87.24	-9.15	25.68
129.00	3853.43	0.00	-757.24	87.44	-9.13	25.51
130.00	3852.09	0.00	-763.01	87.64	-9.10	25.34
131.00	3850.74	0.00	-768.77	87.84	-9.08	25.17
132.00	3849.38	0.00	-774.54	88.04	-9.05	25.00
133.00	3848.00	0.00	-780.30	88.24	-9.02	24.83
134.00	3846.62	0.00	-786.06	88.44	-8.99	24.66
135.00	3845.23	0.00	-791.82	88.65	-8.96	24.50
136.00	3843.83	0.00	-797.57	88.86	-8.92	24.33
137.00	3842.41	0.00	-803.33	89.06	-8.89	24.16
138.00	3840.99	0.00	-809.07	89.21	-8.85	24.00
139.00	3839.56	0.00	-814.82	89.36	-8.81	23.84
140.00	3838.12	0.00	-820.57	89.51	-8.77	23.69
141.00	3836.66	0.00	-826.31	89.65	-8.74	23.54
142.00	3835.20	0.00	-832.05	89.80	-8.70	23.39
143.00	3833.72	0.00	-837.79	89.96	-8.66	23.24
144.00	3832.24	0.00	-843.53	90.11	-8.62	23.10
145.00	3830.75	0.00	-849.26	90.26	-8.59	22.95
146.00	3829.24	0.00	-854.99	90.41	-8.55	22.81
147.00	3827.73	0.00	-860.71	90.57	-8.52	22.67
148.00	3826.20	0.00	-866.44	90.71	-8.52	22.48
149.00	3824.67	0.00	-872.16	90.85	-8.52	22.29
150.00	3823.13	0.00	-877.88	90.99	-8.52	22.09
151.00	3821.57	0.00	-883.60	91.12	-8.52	21.90
152.00	3820.01	0.00	-889.31	91.25	-8.52	21.71
153.00	3818.43	0.00	-895.02	91.38	-8.52	21.51
154.00	3816.85	0.00	-900.73	91.51	-8.52	21.31
155.00	3815.25	0.00	-906.44	91.63	-8.52	21.11
156.00	3813.65	0.00	-912.14	91.76	-8.52	20.92
157.00	3812.03	0.00	-917.84	91.88	-8.52	20.72
158.00	3810.41	0.00	-923.54	92.00	-8.47	20.57
159.00	3808.77	0.00	-929.23	92.13	-8.43	20.43
160.00	3807.13	0.00	-934.93	92.26	-8.39	20.28
161.00	3805.47	0.00	-940.62	92.39	-8.34	20.14
162.00	3803.81	0.00	-946.30	92.53	-8.30	19.99
163.00	3802.13	0.00	-951.99	92.66	-8.26	19.85
164.00	3800.45	0.00	-957.67	92.80	-8.22	19.70
165.00	3798.75	0.00	-963.34	92.95	-8.17	19.56
166.00	3797.05	0.00	-969.02	93.10	-8.13	19.41
167.00	3795.33	0.00	-974.69	93.25	-8.09	19.26
168.00	3793.61	0.00	-980.36	93.41	-8.03	19.10
169.00	3791.87	0.00	-986.03	93.56	-7.96	18.94
170.00	3790.13	0.00	-991.69	93.72	-7.88	18.78
171.00	3788.37	0.00	-997.35	93.86	-7.81	18.61
172.00	3786.60	0.00	-1003.00	94.01	-7.74	18.44
173.00	3784.83	0.00	-1008.66	94.16	-7.68	18.28
174.00	3783.04	0.00	-1014.31	94.30	-7.61	18.11
175.00	3781.25	0.00	-1019.96	94.45	-7.55	17.95
176.00	3779.44	0.00	-1025.60	94.60	-7.50	17.79
177.00	3777.63	0.00	-1031.24	94.75	-7.44	17.62
178.00	3775.80	0.00	-1036.88	94.86	-7.40	17.48
179.00	3773.97	0.00	-1042.51	94.97	-7.36	17.35
180.00	3772.12	0.00	-1048.15	95.08	-7.32	17.21
181.00	3770.27	0.00	-1053.78	95.19	-7.27	17.07
182.00	3768.40	0.00	-1059.40	95.31	-7.22	16.93
183.00	3766.53	0.00	-1065.02	95.43	-7.17	16.79
184.00	3764.64	0.00	-1070.64	95.56	-7.12	16.64
185.00	3762.75	0.00	-1076.26	95.68	-7.07	16.50
186.00	3760.85	0.00	-1081.87	95.81	-7.01	16.35
187.00	3758.93	0.00	-1087.48	95.95	-6.96	16.20
188.00	3757.01	0.00	-1093.08	96.10	-6.91	16.07
189.00	3755.07	0.00	-1098.69	96.25	-6.87	15.95
190.00	3753.13	0.00	-1104.29	96.40	-6.83	15.82
191.00	3751.18	0.00	-1109.88	96.55	-6.79	15.70
192.00	3749.21	0.00	-1115.47	96.71	-6.75	15.58
193.00	3747.24	0.00	-1121.06	96.86	-6.71	15.46
194.00	3745.25	0.00	-1126.65	97.01	-6.67	15.34
195.00	3743.26	0.00	-1132.23	97.16	-6.63	15.23
196.00	3741.26	0.00	-1137.81	97.31	-6.60	15.11
197.00	3739.24	0.00	-1143.38	97.46	-6.56	14.99
198.00	3737.22	0.00	-1148.96	97.60	-6.52	14.89
199.00	3735.19	0.00	-1154.53	97.71	-6.47	14.79
200.00	3733.15	0.00	-1160.09	97.82	-6.43	14.70
201.00	3731.09	0.00	-1165.65	97.93	-6.39	14.60
202.00	3729.03	0.00	-1171.21	98.03	-6.34	14.51
203.00	3726.96	0.00	-1176.76	98.14	-6.30	14.41
204.00	3724.88	0.00	-1182.31	98.25	-6.25	14.31
205.00	3722.79	0.00	-1187.86	98.36	-6.21	14.21
206.00	3720.69	0.00	-1193.40	98.47	-6.17	14.11
207.00	3718.57	0.00	-1198.94	98.58	-6.12	14.01
208.00	3716.45	0.00	-1204.48	98.70	-6.08	13.91
209.00	3714.32	0.00	-1210.01	98.82	-6.04	13.82
210.00	3712.18	0.00	-1215.54	98.93	-6.00	13.72
211.00	3710.03	0.00	-1221.06	99.05	-5.96	13.63
212.00	3707.87	0.00	-1226.59	99.17	-5.92	13.53
213.00	3705.70	0.00	-1232.10	99.29	-5.88	13.43
214.00	3703.52	0.00	-1237.61	99.41	-5.84	13.34
215.00	3701.33	0.00	-1243.13	99.53	-5.79	13.24
216.00	3699.13	0.00	-1248.63	99.66	-5.75	13.14
217.00	3696.92	0.00	-1254.13	99.78	-5.71	13.04
218.00	3694.71	0.00	-1259.63	99.91	-5.66	12.93
219.00	3692.48	0.00	-1265.13	100.03	-5.61	12.84
220.00	3690.24	0.00	-1270.62	100.14	-5.55	12.74
221.00	3687.99	0.00	-1276.11	100.25	-5.49	12.65
222.00	3685.74	0.00	-1281.59	100.36	-5.44	12.56
223.00	3683.47	0.00	-1287.07	100.47	-5.39	12.46
224.00	3681.19	0.00	-1292.54	100.58	-5.34	12.36
225.00	3678.91	0.00	-1298.01	100.69	-5.29	12.27
226.00	3676.61	0.00	-1303.48	100.80	-5.24	12.17
227.00	3674.31	0.00	-1308.94	100.91	-5.19	12.07
228.00	3671.99	0.00	-1314.40	101.01	-5.14	11.98
229.00	3669.66	0.00	-1319.86	101.12	-5.08	11.88
230.00	3667.33	0.00	-1325.31	101.22	-5.02	11.78
231.00	3664.99	0.00	-1330.76	101.32	-4.96	11.67
232.00	3662.64	0.00	-1336.20	101.43	-4.91	11.57
233.00	3660.27	0.00	-1341.64	101.54	-4.85	11.47
234.00	3657.90	0.00	-1347.08	101.64	-4.80	11.36
235.00	3655.52	0.00	-1352.51	101.76	-4.75	11.26
236.00	3653.12	0.00	-1357.93	101.87	-4.70	11.16
237.00	3650.72	0.00	-1363.35	101.98	-4.65	11.05
238.00	3648.31	0.00	-1368.77	102.10	-4.61	10.95
239.00	3645.89	0.00	-1374.19	102.22	-4.56	10.84
240.00	3643.46	0.00	-1379.60	102.31	-4.51	10.74
241.00	3641.02	0.00	-1385.01	102.41	-4.46	10.64
242.00	3638.57	0.00	-1390.41	102.50	-4.41	10.54
243.00	3636.11	0.00	-1395.80	102.59	-4.36	10.44
244.00	3633.65	0.00	-1401.20	102.67	-4.31	10.33
245.00	3631.17	0.00	-1406.59	102.76	-4.26	10.23
246.00	3628.68	0.00	-1411.97	102.85	-4.21	10.12
247.00	3626.18	0.00	-1417.35	102.94	-4.16	10.02
248.00	3623.68	0.00	-1422.73	103.02	-4.10	9.91
249.00	3621.16	0.00	-1428.10	103.11	-4.05	9.80
250.00	3618.63	0.00	-1433.47	103.19	-4.00	9.69
251.00	3616.10	0.00	-1438.83	103.28	-3.98	9.58
252.00	3613.56	0.00	-1444.19	103.37	-3.96	9.47
253.00	3611.00	0.00	-1449.54	103.46	-3.93	9.35
254.00	3608.44	0.00	-1454.89	103.55	-3.90	9.24
255.00	3605.87	0.00	-1460.24	103.65	-3.88	9.13
256.00	3603.28	0.00	-1465.58	103.74	-3.85	9.01
257.00	3600.69	0.00	-1470.92	103.84	-3.82	8.90
258.00	3598.09	0.00	-1476.25	103.94	-3.79	8.78
259.00	3595.48	0.00	-1481.58	104.05	-3.77	8.67
260.00	3592.86	0.00	-1486.90	104.15	-3.74	8.55
261.00	3590.24	0.00	-1492.22	104.26	-3.71	8.44
262.00	3587.60	0.00	-1497.53	104.36	-3.69	8.34
263.00	3584.95	0.00	-1502.84	104.45	-3.67	8.24
264.00	3582.29	0.00	-1508.15	104.55	-3.65	8.14
265.00	3579.62	0.00	-1513.45	104.64	-3.63	8.03
266.00	3576.95	0.00	-1518.74	104.73	-3.61	7.93
267.00	3574.26	0.00	-1524.03	104.83	-3.59	7.82
268.00	3571.57	0.00	-1529.32	104.91	-3.57	7.71
269.00	3568.87	0.00	-1534.60	105.00	-3.55	7.60
270.00	3566.15	0.00	-1539.88	105.08	-3.53	7.48
271.00	3563.43	0.00	-1545.15	105.17	-3.50	7.37
272.00	3560.70	0.00	-1550.42	105.25	-3.50	7.26
273.00	3557.96	0.00	-1555.68	105.32	-3.51	7.15
274.00	3555.21	0.00	-1560.94	105.40	-3.52	7.05
275.00	3552.45	0.00	-1566.19	105.48	-3.53	6.94
276.00	3549.68	0.00	-1571.44	105.57	-3.54	6.83
277.00	3546.90	0.00	-1576.68	105.65	-3.55	6.72
278.00	3544.11	0.00	-1581.93	105.73	-3.56	6.61
279.00	3541.32	0.00	-1587.16	105.81	-3.57	6.50
280.00	3538.51	0.00	-1592.39	105.90	-3.58	6.38
281.00	3535.69	0.00	-1597.61	105.99	-3.58	6.27
282.00	3532.87	0.00	-1602.83	106.07	-3.59	6.15
283.00	3530.04	0.00	-1608.05	106.16	-3.59	6.04
284.00	3527.20	0.00	-1613.26	106.24	-3.59	5.94
285.00	3524.34	0.00	-1618.46	106.33	-3.59	5.83
286.00	3521.48	0.00	-1623.66	106.41	-3.60	5.73
287.00	3518.61	0.00	-1628.86	106.49	-3.60	5.62
288.00	3515.73	0.00	-1634.05	106.57	-3.61	5.51
289.00	3512.84	0.00	-1639.23	106.65	-3.61	5.41
290.00	3509.94	0.00	-1644.41	106.73	-3.62	5.30
291.00	3507.04	0.00	-1649.59	106.81	-3.63	5.20
292.00	3504.12	0.00	-1654.76	106.89	-3.64	5.09
293.00	3501.20	0.00	-1659.92	106.98	-3.65	4.98
294.00	3498.26	0.00	-1665.08	107.07	-3.67	4.87
295.00	3495.32	0.00	-1670.24	107.16	-3.68	4.75
296.00	3492.37	0.00	-1675.39	107.25	-3.69	4.64
297.00	3489.40	0.00	-1680.53	107.34	-3.71	4.52
298.00	3486.44	0.00	-1685.67	107.43	-3.72	4.41
299.00	3483.46	0.00	-1690.81	107.52	-3.73	4.29
300.00	3480.47	0.00	-1695.94	107.60	-3.75	4.17
301.00	3477.47	0.00	-1701.06	107.68	-3.76	4.06
302.00	3474.46	0.00	-1706.18	107.77	-3.77	3.94
303.00	3471.45	0.00	-1711.29	107.85	-3.78	3.83
304.00	3468.42	0.00	-1716.40	107.93	-3.79	3.71
305.00	3465.39	0.00	-1721.51	108.01	-3.80	3.61
306.00	3462.35	0.00	-1726.60	108.10	-3.80	3.50
307.00	3459.29	0.00	-1731.70	108.18	-3.81	3.40
308.00	3456.23	0.00	-1736.78	108.27	-3.81	3.29
309.00	3453.16	0.00	-1741.87	108.36	-3.80	3.19
310.00	3450.08	0.00	-1746.94	108.44	-3.80	3.08
311.00	3447.00	0.00	-1752.02	108.53	-3.80	2.97
312.00	3443.90	0.00	-1757.08	108.62	-3.79	2.86
313.00	3440.79	0.00	-1762.14	108.71	-3.78	2.76
314.00	3437.68	0.00	-1767.20	108.80	-3.77	2.65
315.00	3434.56	0.00	-1772.25	108.89	-3.77	2.54
316.00	3431.42	0.00	-1777.29	108.97	-3.76	2.43
317.00	3428.28	0.00	-1782.33	109.05	-3.77	2.32
318.00	3425.13	0.00	-1787.37	109.12	-3.77	2.21
319.00	3421.97	0.00	-1792.39	109.20	-3.78	2.09
320.00	3418.81	0.00	-1797.42	109.27	-3.79	1.98
321.00	3415.63	0.00	-1802.44	109.35	-3.79	1.86
322.00	3412.44	0.00	-1807.45	109.42	-3.80	1.74
323.00	3409.25	0.00	-1812.45	109.49	-3.81	1.62
324.00	3406.04	0.00	-1817.46	109.57	-3.82	1.49
325.00	3402.83	0.00	-1822.45	109.64	-3.83	1.36
326.00	3399.61	0.00	-1827.44	109.71	-3.84	1.23
327.00	3396.38	0.00	-1832.43	109.78	-3.86	1.10
328.00	3393.14	0.00	-1837.41	109.87	-3.86	1.00
329.00	3389.90	0.00	-1842.38	109.95	-3.86	0.91
330.00	3386.64	0.00	-1847.35	110.04	-3.87	0.81
331.00	3383.37	0.00	-1852.31	110.13	-3.87	0.72
332.00	3380.10	0.00	-1857.26	110.22	-3.88	0.62
333.00	3376.82	0.00	-1862.22	110.31	-3.89	0.53
334.00	3373.53	0.00	-1867.16	110.40	-3.89	0.43
335.00	3370.23	0.00	-1872.10	110.49	-3.90	0.33
336.00	3366.92	0.00	-1877.03	110.58	-3.91	0.23
337.00	3363.60	0.00	-1881.96	110.66	-3.92	0.14
338.00	3360.28	0.00	-1886.88	110.75	-3.93	0.04
339.00	3356.94	0.00	-1891.80	110.84	-3.95	-0.07
340.00	3353.60	0.00	-1896.71	110.91	-3.96	-0.20
341.00	3350.25	0.00	-1901.62	110.98	-3.97	-0.34
342.00	3346.89	0.00	-1906.52	111.05	-3.98	-0.47
343.00	3343.52	0.00	-1911.41	111.13	-3.99	-0.61
344.00	3340.14	0.00	-1916.30	111.20	-4.00	-0.75
345.00	3336.75	0.00	-1921.18	111.28	-4.01	-0.89
346.00	3333.36	0.00	-1926.05	111.36	-4.02	-1.03
347.00	3329.95	0.00	-1930.92	111.43	-4.03	-1.17
348.00	3326.54	0.00	-1935.79	111.50	-4.04	-1.31
349.00	3323.12	0.00	-1940.65	111.56	-4.05	-1.44
350.00	3319.69	0.00	-1945.50	111.62	-4.06	-1.58
351.00	3316.25	0.00	-1950.35	111.67	-4.09	-1.70
352.00	3312.81	0.00	-1955.18	111.72	-4.12	-1.81
353.00	3309.35	0.00	-1960.02	111.77	-4.15	-1.93
354.00	3305.89	0.00	-1964.85	111.83	-4.18	-2.05
355.00	3302.42	0.00	-1969.67	111.88	-4.21	-2.16
356.00	3298.94	0.00	-1974.49	111.93	-4.23	-2.28
357.00	3295.45	0.00	-1979.30	111.98	-4.26	-2.41
358.00	3291.95	0.00	-1984.10	112.03	-4.28	-2.53
359.00	3288.44	0.00	-1988.90	112.08	-4.30	-2.65
360.00	3284.93	0.00	-1993.69	112.14	-4.32	-2.78
361.00	3281.40	0.00	-1998.48	112.19	-4.34	-2.91
362.00	3277.87	0.00	-2003.26	112.24	-4.36	-3.04
363.00	3274.33	0.00	-2008.03	112.29	-4.37	-3.15
364.00	3270.79	0.00	-2012.80	112.34	-4.37	-3.26
365.00	3267.23	0.00	-2017.56	112.39	-4.37	-3.37
366.00	3263.66	0.00	-2022.32	112.43	-4.38	-3.47
367.00	3260.09	0.00	-2027.07	112.48	-4.39	-3.58
368.00	3256.51	0.00	-2031.81	112.53	-4.40	-3.69
369.00	3252.92	0.00	-2036.55	112.58	-4.41	-3.79
370.00	3249.32	0.00	-2041.28	112.63	-4.42	-3.89
371.00	3245.71	0.00	-2046.00	112.68	-4.44	-4.00
372.00	3242.10	0.00	-2050.72	112.73	-4.46	-4.10
373.00	3238.47	0.00	-2055.44	112.78	-4.49	-4.20
374.00	3234.84	0.00	-2060.14	112.83	-4.51	-4.30
375.00	3231.20	0.00	-2064.84	112.87	-4.54	-4.43
376.00	3227.55	0.00	-2069.53	112.90	-4.57	-4.57
377.00	3223.90	0.00	-2074.22	112.92	-4.60	-4.71
378.00	3220.23	0.00	-2078.90	112.93	-4.63	-4.86
379.00	3216.56	0.00	-2083.58	112.94	-4.66	-5.02
380.00	3212.88	0.00	-2088.24	112.95	-4.69	-5.19
381.00	3209.19	0.00	-2092.91	112.95	-4.71	-5.37
382.00	3205.49	0.00	-2097.56	112.96	-4.74	-5.54
383.00	3201.78	0.00	-2102.21	112.98	-4.76	-5.72
384.00	3198.07	0.00	-2106.85	112.99	-4.78	-5.90
385.00	3194.35	0.00	-2111.49	113.01	-4.80	-6.08
386.00	3190.61	0.00	-2116.12	113.03	-4.81	-6.26
387.00	3186.88	0.00	-2120.74	113.05	-4.82	-6.43
388.00	3183.13	0.00	-2125.36	113.05	-4.83	-6.59
389.00	3179.37	0.00	-2129.97	113.07	-4.84	-6.74
390.00	3175.61	0.00	-2134.58	113.08	-4.86	-6.89
391.00	3171.84	0.00	-2139.17	113.10	-4.87	-7.04
392.00	3168.06	0.00	-2143.76	113.11	-4.89	-7.20
393.00	3164.27	0.00	-2148.35	113.13	-4.91	-7.35
394.00	3160.48	0.00	-2152.92	113.15	-4.93	-7.49
395.00	3156.67	0.00	-2157.50	113.15	-4.96	-7.62
396.00	3152.86	0.00	-2162.06	113.15	-4.98	-7.75
397.00	3149.04	0.00	-2166.62	113.15	-5.01	-7.88
398.00	3145.21	0.00	-2171.17	113.15	-5.05	-8.01
399.00	3141.38	0.00	-2175.72	113.14	-5.08	-8.14
400.00	3137.53	0.00	-2180.25	113.21	-5.12	-8.29
401.00	3133.68	0.00	-2184.79	113.29	-5.16	-8.43
402.00	3129.82	0.00	-2189.31	113.37	-5.20	-8.57
403.00	3125.95	0.00	-2193.83	113.45	-5.24	-8.71
404.00	3122.08	0.00	-2198.34	113.54	-5.29	-8.85
405.00	3118.19	0.00	-2202.84	113.63	-5.33	-8.98
406.00	3114.30	0.00	-2207.34	113.72	-5.38	-9.12
407.00	3110.40	0.00	-2211.84	113.82	-5.43	-9.25
408.00	3106.49	0.00	-2216.32	113.92	-5.48	-9.39
409.00	3102.58	0.00	-2220.80	114.01	-5.52	-9.53
410.00	3098.65	0.00	-2225.27	114.10	-5.55	-9.69
411.00	3094.72	0.00	-2229.73	114.19	-5.57	-9.85
412.00	3090.78	0.00	-2234.19	114.26	-5.59	-10.01
413.00	3086.84	0.00	-2238.64	114.33	-5.60	-10.16
414.00	3082.88	0.00	-2243.08	114.39	-5.60	-10.31
415.00	3078.92	0.00	-2247.52	114.45	-5.60	-10.47
416.00	3074.95	0.00	-2251.95	114.50	-5.60	-10.63
417.00	3070.97	0.00	-2256.38	114.56	-5.59	-10.79
418.00	3066.98	0.00	-2260.79	114.61	-5.58	-10.96
419.00	3062.99	0.00	-2265.20	114.67	-5.57	-11.13
420.00	3058.99	0.00	-2269.61	114.72	-5.56	-11.30
421.00	3054.98	0.00	-2274.00	114.77	-5.54	-11.48
422.00	3050.96	0.00	-2278.39	114.81	-5.52	-11.66
423.00	3046.94	0.00	-2282.77	114.87	-5.50	-11.84
424.00	3042.90	0.00	-2287.15	114.96	-5.51	-12.03
425.00	3038.86	0.00	-2291.52	115.06	-5.53	-12.22
426.00	3034.81	0.00	-2295.88	115.17	-5.60	-12.40
427.00	3030.76	0.00	-2300.23	115.28	-5.67	-12.58
428.00	3026.69	0.00	-2304.58	115.38	-5.73	-12.75
429.00	3022.62	0.00	-2308.92	115.48	-5.80	-12.93
430.00	3018.54	0.00	-2313.25	115.58	-5.86	-13.10
431.00	3014.46	0.00	-2317.58	115.68	-5.92	-13.27
432.00	3010.36	0.00	-2321.90	115.77	-5.98	-13.44
433.00	3006.26	0.00	-2326.21	115.86	-6.04	-13.60
434.00	3002.15	0.00	-2330.51	115.94	-6.09	-13.76
435.00	2998.04	0.00	-2334.81	116.02	-6.15	-13.92
436.00	2993.91	0.00	-2339.10	116.10	-6.20	-14.08
437.00	2989.78	0.00	-2343.39	116.17	-6.25	-14.23
438.00	2985.64	0.00	-2347.66	116.23	-6.30	-14.39
