Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	15.80	-11.89	17.77
2008-01-14T18:52:16	4470.58	-3073.19	17.87	15.47	-12.31	17.75
2008-01-14T18:52:18	4465.44	-3061.29	17.23	15.11	-12.70	17.73
2008-01-14T18:52:20	4460.35	-3049.48	16.60	14.70	-13.06	17.69
2008-01-14T18:52:22	4455.23	-3037.62	15.96	14.26	-13.38	17.65
2008-01-14T18:52:24	4450.11	-3025.75	15.33	14.00	-13.55	17.88
2008-01-14T18:52:26	4444.99	-3013.89	14.69	13.85	-13.68	18.23
2008-01-14T18:52:28	4439.86	-3002.03	14.06	13.70	-13.84	18.57
2008-01-14T18:52:30	4434.73	-2990.16	13.42	13.56	-14.01	18.90
2008-01-14T18:52:32	4429.60	-2978.29	12.79	13.42	-14.20	19.21
2008-01-14T18:52:34	4424.47	-2966.42	12.15	12.83	-14.38	19.34
2008-01-14T18:52:36	4419.33	-2954.55	11.52	12.12	-14.53	19.42
2008-01-14T18:52:38	4414.19	-2942.67	10.88	11.41	-14.64	19.53
2008-01-14T18:52:40	4409.05	-2930.80	10.25	10.73	-14.78	19.65
2008-01-14T18:52:42	4403.91	-2918.92	9.61	10.08	-14.96	19.77
2008-01-14T18:52:44	4398.76	-2907.04	8.98	9.48	-15.25	20.07
2008-01-14T18:52:46	4393.62	-2895.16	8.34	8.88	-15.51	20.35
2008-01-14T18:52:48	4388.46	-2883.28	7.71	8.30	-15.73	20.60
2008-01-14T18:52:50	4383.31	-2871.39	7.07	7.73	-15.91	20.83
2008-01-14T18:52:52	4378.15	-2859.51	6.44	7.36	-16.05	21.00
2008-01-14T18:52:54	4372.99	-2847.62	5.80	7.62	-16.11	21.07
2008-01-14T18:52:56	4367.83	-2835.73	5.17	7.93	-16.14	21.13
2008-01-14T18:52:58	4362.67	-2823.84	4.53	8.28	-16.14	21.20
2008-01-14T18:53:00	4357.50	-2811.95	3.90	8.56	-15.98	21.20
2008-01-14T18:53:02	4352.33	-2800.05	3.26	8.76	-15.79	21.22
2008-01-14T18:53:04	4347.16	-2788.15	2.63	8.92	-15.51	21.32
2008-01-14T18:53:06	4341.98	-2776.26	1.99	9.09	-15.24	21.44
2008-01-14T18:53:08	4336.80	-2764.35	1.36	9.29	-14.96	21.58
2008-01-14T18:53:10	4331.62	-2752.45	0.72	9.51	-14.69	21.73
2008-01-14T18:53:12	4326.44	-2740.55	0.09	9.79	-14.67	21.81
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	10.11	-14.86	21.80
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	10.43	-15.12	21.73
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	10.77	-15.45	21.60
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	11.11	-15.85	21.42
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	11.24	-16.08	21.27
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	11.36	-16.30	21.17
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	11.49	-16.57	21.13
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	11.65	-16.88	21.13
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	11.81	-17.23	21.18
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	11.75	-17.36	21.38
2008-01-14T18:53:34	4269.23	-2609.48	-6.90	11.71	-17.48	21.57
2008-01-14T18:53:36	4264.01	-2597.56	-7.54	11.72	-17.60	21.73
2008-01-14T18:53:38	4258.79	-2585.63	-8.17	11.76	-17.73	21.88
2008-01-14T18:53:40	4253.57	-2573.70	-8.81	11.84	-17.79	21.84
2008-01-14T18:53:42	4248.34	-2561.77	-9.44	11.93	-17.64	21.20
2008-01-14T18:53:44	4243.11	-2549.83	-10.08	12.04	-17.53	20.47
2008-01-14T18:53:46	4237.88	-2537.90	-10.71	12.15	-17.53	19.79
2008-01-14T18:53:48	4232.64	-2525.96	-11.35	12.25	-17.63	19.17
2008-01-14T18:53:50	4227.40	-2514.02	-11.98	12.40	-17.82	18.93
2008-01-14T18:53:52	4222.16	-2502.08	-12.62	12.58	-17.95	19.13
2008-01-14T18:53:54	4216.92	-2490.13	-13.25	12.70	-18.02	19.32
