Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-35.26	10.05	17.90
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-36.46	9.96	17.71
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-37.67	9.87	17.53
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-38.88	9.77	17.34
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-40.11	9.67	17.15
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-41.34	9.56	16.97
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-42.55	9.45	16.76
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-43.27	9.30	15.99
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-43.99	9.14	15.23
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-44.71	8.97	14.47
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-45.43	8.78	13.72
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-46.15	8.58	12.96
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-46.87	8.37	12.21
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-47.23	8.20	11.51
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-47.51	8.04	10.79
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-47.79	7.90	10.04
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-48.07	7.77	9.27
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-48.35	7.65	8.47
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-48.62	7.53	7.65
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-48.91	7.42	7.27
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-49.21	7.32	7.21
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-49.56	7.30	7.21
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-49.92	7.27	7.20
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-50.29	7.24	7.18
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-50.67	7.21	7.16
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-51.34	7.28	7.05
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-52.49	7.52	6.83
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-53.61	7.73	6.58
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-54.72	7.91	6.31
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-55.80	8.07	6.02
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-56.87	8.20	5.70
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	-57.89	8.29	5.41
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	-58.73	8.35	5.29
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	-59.55	8.41	5.18
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	-60.36	8.47	5.09
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	-61.16	8.54	5.01
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	-61.94	8.60	4.95
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	-62.71	8.66	4.90
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	-63.23	8.76	4.91
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	-63.76	8.86	4.93
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	-64.29	8.97	4.97
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	-64.82	9.08	5.02
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	-65.36	9.21	5.08
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	-65.90	9.35	5.16
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	-66.36	9.47	5.06
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	-66.79	9.59	4.94
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	-67.22	9.72	4.82
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	-67.64	9.86	4.71
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	-68.05	10.01	4.61
2023-06-19T19:18:30	3357.77	-3551.92	1353.37	-68.45	10.17	4.51
2023-06-19T19:18:32	3356.61	-3542.65	1352.90	-68.97	10.50	4.41
2023-06-19T19:18:34	3355.44	-3533.37	1352.43	-69.57	10.91	4.29
2023-06-19T19:18:36	3354.27	-3524.10	1351.95	-70.16	11.30	4.15
2023-06-19T19:18:38	3353.10	-3514.82	1351.48	-70.74	11.68	3.98
2023-06-19T19:18:40	3351.93	-3505.53	1351.01	-71.32	12.04	3.80
2023-06-19T19:18:42	3350.76	-3496.25	1350.53	-71.90	12.38	3.59
2023-06-19T19:18:44	3349.58	-3486.96	1350.05	-72.51	12.76	3.46
2023-06-19T19:18:46	3348.40	-3477.67	1349.57	-73.20	13.18	3.43
2023-06-19T19:18:48	3347.22	-3468.38	1349.09	-73.90	13.61	3.42
2023-06-19T19:18:50	3346.04	-3459.08	1348.61	-74.63	14.06	3.41
2023-06-19T19:18:52	3344.85	-3449.78	1348.13	-75.37	14.51	3.41
2023-06-19T19:18:54	3343.66	-3440.49	1347.65	-76.14	14.98	3.43
2023-06-19T19:18:56	3342.47	-3431.18	1347.17	-76.75	15.30	3.40
2023-06-19T19:18:58	3341.28	-3421.88	1346.68	-77.00	15.30	3.28
2023-06-19T19:19:00	3340.08	-3412.57	1346.20	-77.25	15.30	3.15
2023-06-19T19:19:02	3338.89	-3403.26	1345.71	-77.49	15.30	3.03
2023-06-19T19:19:04	3337.69	-3393.95	1345.23	-77.73	15.31	2.91
2023-06-19T19:19:06	3336.49	-3384.64	1344.74	-77.96	15.32	2.80
2023-06-19T19:19:08	3335.28	-3375.32	1344.25	-78.17	15.36	2.69
2023-06-19T19:19:10	3334.07	-3366.00	1343.76	-78.35	15.54	2.59
2023-06-19T19:19:12	3332.86	-3356.68	1343.27	-78.52	15.70	2.48
2023-06-19T19:19:14	3331.65	-3347.35	1342.78	-78.68	15.84	2.35
2023-06-19T19:19:16	3330.44	-3338.02	1342.28	-78.85	15.99	2.22
2023-06-19T19:19:18	3329.22	-3328.69	1341.79	-79.02	16.14	2.09
2023-06-19T19:19:20	3328.00	-3319.36	1341.29	-79.19	16.28	1.96
2023-06-19T19:19:22	3326.78	-3310.03	1340.80	-79.30	16.22	2.01
2023-06-19T19:19:24	3325.56	-3300.69	1340.30	-79.41	16.17	2.05
2023-06-19T19:19:26	3324.33	-3291.35	1339.80	-79.52	16.12	2.10
2023-06-19T19:19:28	3323.10	-3282.01	1339.31	-79.63	16.08	2.16
2023-06-19T19:19:30	3321.87	-3272.66	1338.81	-79.75	16.04	2.21
2023-06-19T19:19:32	3320.64	-3263.32	1338.31	-79.87	16.01	2.27
2023-06-19T19:19:34	3319.40	-3253.97	1337.80	-79.92	16.11	2.35
2023-06-19T19:19:36	3318.16	-3244.61	1337.30	-79.98	16.23	2.43
2023-06-19T19:19:38	3316.92	-3235.26	1336.80	-80.03	16.34	2.51
2023-06-19T19:19:40	3315.67	-3225.90	1336.29	-80.07	16.46	2.58
2023-06-19T19:19:42	3314.43	-3216.54	1335.79	-80.11	16.58	2.66
2023-06-19T19:19:44	3313.18	-3207.18	1335.28	-80.16	16.71	2.73
2023-06-19T19:19:46	3311.92	-3197.82	1334.77	-80.25	16.75	2.80
2023-06-19T19:19:48	3310.67	-3188.45	1334.26	-80.36	16.77	2.87
2023-06-19T19:19:50	3309.41	-3179.08	1333.75	-80.47	16.78	2.93
2023-06-19T19:19:52	3308.15	-3169.71	1333.24	-80.58	16.80	2.99
2023-06-19T19:19:54	3306.89	-3160.33	1332.73	-80.69	16.83	3.04
2023-06-19T19:19:56	3305.62	-3150.95	1332.21	-80.80	16.85	3.10
2023-06-19T19:19:58	3304.35	-3141.57	1331.70	-80.82	16.88	3.23
2023-06-19T19:20:00	3303.08	-3132.19	1331.18	-80.79	16.90	3.39
2023-06-19T19:20:02	3301.81	-3122.80	1330.66	-80.76	16.93	3.56
2023-06-19T19:20:04	3300.53	-3113.41	1330.15	-80.74	16.96	3.74
2023-06-19T19:20:06	3299.26	-3104.02	1329.63	-80.71	16.99	3.92
2023-06-19T19:20:08	3297.97	-3094.63	1329.11	-80.68	17.02	4.11
2023-06-19T19:20:10	3296.69	-3085.23	1328.58	-80.70	17.12	4.24
2023-06-19T19:20:12	3295.40	-3075.83	1328.06	-80.75	17.26	4.34
2023-06-19T19:20:14	3294.11	-3066.43	1327.54	-80.79	17.40	4.44
2023-06-19T19:20:16	3292.82	-3057.03	1327.01	-80.84	17.54	4.54
2023-06-19T19:20:18	3291.53	-3047.62	1326.49	-80.88	17.68	4.63
2023-06-19T19:20:20	3290.23	-3038.21	1325.96	-80.92	17.82	4.73
2023-06-19T19:20:22	3288.93	-3028.80	1325.43	-80.95	17.90	4.82
2023-06-19T19:20:24	3287.62	-3019.39	1324.90	-80.96	17.93	4.91
2023-06-19T19:20:26	3286.32	-3009.97	1324.37	-80.97	17.96	4.99
2023-06-19T19:20:28	3285.01	-3000.55	1323.84	-80.98	18.00	5.08
2023-06-19T19:20:30	3283.69	-2991.13	1323.31	-81.00	18.03	5.15
2023-06-19T19:20:32	3282.38	-2981.70	1322.78	-81.01	18.06	5.23
2023-06-19T19:20:34	3281.06	-2972.27	1322.24	-81.02	18.11	5.35
2023-06-19T19:20:36	3279.74	-2962.85	1321.70	-81.00	18.19	5.55
2023-06-19T19:20:38	3278.42	-2953.41	1321.16	-80.98	18.26	5.74
2023-06-19T19:20:40	3277.09	-2943.98	1320.63	-80.96	18.34	5.94
2023-06-19T19:20:42	3275.76	-2934.54	1320.09	-80.93	18.41	6.14
2023-06-19T19:20:44	3274.43	-2925.10	1319.54	-80.91	18.49	6.34
2023-06-19T19:20:46	3273.09	-2915.65	1319.00	-80.95	18.57	6.52
2023-06-19T19:20:48	3271.75	-2906.21	1318.46	-81.05	18.63	6.67
2023-06-19T19:20:50	3270.41	-2896.76	1317.91	-81.15	18.69	6.82
2023-06-19T19:20:52	3269.07	-2887.31	1317.37	-81.25	18.74	6.98
2023-06-19T19:20:54	3267.72	-2877.85	1316.82	-81.35	18.80	7.13
2023-06-19T19:20:56	3266.37	-2868.39	1316.27	-81.44	18.86	7.28
2023-06-19T19:20:58	3265.02	-2858.93	1315.72	-81.52	18.92	7.43
2023-06-19T19:21:00	3263.66	-2849.47	1315.17	-81.58	19.00	7.58
2023-06-19T19:21:02	3262.30	-2840.01	1314.62	-81.63	19.09	7.73
2023-06-19T19:21:04	3260.94	-2830.54	1314.07	-81.69	19.17	7.88
2023-06-19T19:21:06	3259.57	-2821.07	1313.51	-81.75	19.26	8.03
2023-06-19T19:21:08	3258.20	-2811.59	1312.95	-81.81	19.35	8.18
2023-06-19T19:21:10	3256.83	-2802.12	1312.40	-81.87	19.43	8.32
2023-06-19T19:21:12	3255.46	-2792.64	1311.84	-81.95	19.49	8.46
2023-06-19T19:21:14	3254.08	-2783.16	1311.28	-82.03	19.56	8.60
2023-06-19T19:21:16	3252.70	-2773.67	1310.72	-82.10	19.63	8.74
2023-06-19T19:21:18	3251.31	-2764.19	1310.16	-82.18	19.69	8.88
2023-06-19T19:21:20	3249.92	-2754.69	1309.59	-82.26	19.76	9.02
2023-06-19T19:21:22	3248.53	-2745.20	1309.03	-82.34	19.84	9.17
2023-06-19T19:21:24	3247.14	-2735.71	1308.46	-82.43	19.92	9.32
2023-06-19T19:21:26	3245.74	-2726.21	1307.89	-82.51	20.01	9.48
2023-06-19T19:21:28	3244.34	-2716.71	1307.33	-82.60	20.09	9.63
2023-06-19T19:21:30	3242.94	-2707.20	1306.75	-82.69	20.18	9.79
2023-06-19T19:21:32	3241.53	-2697.70	1306.18	-82.77	20.26	9.95
2023-06-19T19:21:34	3240.12	-2688.19	1305.61	-82.86	20.34	10.12
2023-06-19T19:21:36	3238.71	-2678.68	1305.03	-82.94	20.42	10.29
2023-06-19T19:21:38	3237.29	-2669.16	1304.46	-83.03	20.50	10.46
2023-06-19T19:21:40	3235.87	-2659.64	1303.88	-83.11	20.58	10.64
2023-06-19T19:21:42	3234.45	-2650.12	1303.30	-83.20	20.66	10.81
2023-06-19T19:21:44	3233.02	-2640.60	1302.73	-83.28	20.74	10.98
2023-06-19T19:21:46	3231.59	-2631.07	1302.15	-83.36	20.82	11.15
2023-06-19T19:21:48	3230.15	-2621.55	1301.56	-83.43	20.89	11.29
2023-06-19T19:21:50	3228.72	-2612.02	1300.98	-83.50	20.96	11.42
2023-06-19T19:21:52	3227.28	-2602.48	1300.39	-83.58	21.03	11.56
2023-06-19T19:21:54	3225.84	-2592.94	1299.81	-83.65	21.10	11.69
2023-06-19T19:21:56	3224.39	-2583.40	1299.22	-83.72	21.17	11.83
2023-06-19T19:21:58	3222.94	-2573.86	1298.63	-83.79	21.25	11.97
2023-06-19T19:22:00	3221.48	-2564.32	1298.04	-83.89	21.35	12.14
2023-06-19T19:22:02	3220.02	-2554.77	1297.45	-83.98	21.45	12.30
2023-06-19T19:22:04	3218.56	-2545.22	1296.85	-84.08	21.55	12.47
2023-06-19T19:22:06	3217.10	-2535.66	1296.25	-84.19	21.65	12.64
2023-06-19T19:22:08	3215.63	-2526.11	1295.66	-84.29	21.74	12.81
2023-06-19T19:22:10	3214.16	-2516.55	1295.06	-84.40	21.83	12.98
2023-06-19T19:22:12	3212.68	-2506.98	1294.46	-84.50	21.89	13.17
2023-06-19T19:22:14	3211.21	-2497.42	1293.86	-84.60	21.95	13.35
2023-06-19T19:22:16	3209.72	-2487.85	1293.26	-84.70	22.01	13.54
2023-06-19T19:22:18	3208.24	-2478.28	1292.66	-84.81	22.08	13.72
2023-06-19T19:22:20	3206.75	-2468.70	1292.05	-84.91	22.14	13.90
2023-06-19T19:22:22	3205.25	-2459.13	1291.44	-85.01	22.20	14.08
2023-06-19T19:22:24	3203.76	-2449.55	1290.83	-85.10	22.26	14.25
2023-06-19T19:22:26	3202.26	-2439.97	1290.22	-85.19	22.31	14.42
2023-06-19T19:22:28	3200.75	-2430.38	1289.61	-85.28	22.37	14.59
2023-06-19T19:22:30	3199.24	-2420.79	1289.00	-85.36	22.43	14.76
2023-06-19T19:22:32	3197.73	-2411.20	1288.39	-85.45	22.49	14.94
2023-06-19T19:22:34	3196.21	-2401.61	1287.77	-85.54	22.56	15.11
2023-06-19T19:22:36	3194.70	-2392.01	1287.15	-85.65	22.64	15.29
2023-06-19T19:22:38	3193.17	-2382.41	1286.53	-85.75	22.72	15.46
2023-06-19T19:22:40	3191.64	-2372.81	1285.91	-85.86	22.79	15.64
2023-06-19T19:22:42	3190.11	-2363.21	1285.29	-85.96	22.87	15.82
2023-06-19T19:22:44	3188.58	-2353.60	1284.67	-86.07	22.95	16.00
2023-06-19T19:22:46	3187.04	-2343.99	1284.04	-86.17	23.02	16.18
2023-06-19T19:22:48	3185.50	-2334.37	1283.42	-86.29	23.08	16.37
2023-06-19T19:22:50	3183.95	-2324.75	1282.79	-86.41	23.14	16.55
2023-06-19T19:22:52	3182.40	-2315.14	1282.16	-86.52	23.20	16.74
2023-06-19T19:22:54	3180.85	-2305.51	1281.52	-86.65	23.26	16.92
2023-06-19T19:22:56	3179.29	-2295.89	1280.89	-86.77	23.32	17.11
2023-06-19T19:22:58	3177.73	-2286.26	1280.26	-86.89	23.38	17.29
2023-06-19T19:23:00	3176.17	-2276.63	1279.62	-87.02	23.43	17.48
2023-06-19T19:23:02	3174.59	-2266.99	1278.98	-87.15	23.49	17.67
2023-06-19T19:23:04	3173.02	-2257.36	1278.34	-87.28	23.54	17.86
2023-06-19T19:23:06	3171.44	-2247.72	1277.70	-87.42	23.59	18.05
2023-06-19T19:23:08	3169.86	-2238.07	1277.06	-87.55	23.65	18.25
2023-06-19T19:23:10	3168.27	-2228.43	1276.42	-87.69	23.71	18.45
2023-06-19T19:23:12	3166.69	-2218.78	1275.77	-87.83	23.77	18.66
2023-06-19T19:23:14	3165.09	-2209.13	1275.12	-87.97	23.84	18.87
2023-06-19T19:23:16	3163.49	-2199.47	1274.47	-88.11	23.91	19.08
2023-06-19T19:23:18	3161.89	-2189.82	1273.82	-88.25	23.98	19.29
2023-06-19T19:23:20	3160.28	-2180.16	1273.17	-88.38	24.05	19.51
2023-06-19T19:23:22	3158.67	-2170.49	1272.51	-88.51	24.10	19.73
2023-06-19T19:23:24	3157.06	-2160.83	1271.85	-88.63	24.15	19.95
2023-06-19T19:23:26	3155.44	-2151.16	1271.20	-88.75	24.19	20.17
2023-06-19T19:23:28	3153.81	-2141.49	1270.54	-88.87	24.24	20.39
2023-06-19T19:23:30	3152.19	-2131.81	1269.88	-88.99	24.28	20.61
2023-06-19T19:23:32	3150.56	-2122.13	1269.21	-89.12	24.33	20.83
2023-06-19T19:23:34	3148.92	-2112.45	1268.55	-89.26	24.39	21.06
